Ecotone Unit: Level Logger
Serial Number: 000011313CF4
Probe Number: 000011313CF4
Log Read: 6/16/2011 13:48:12
 
____Date___ ,Time ,_Level_,Units
05/22/0518,14:00,-063.6,cm      
05/23/0518,02:00,-065.7,cm      
05/23/0518,14:00,-066.7,cm      
05/24/0518,02:00,-066.5,cm      
05/24/0518,14:00,-068.0,cm      
05/25/0518,02:00,-068.8,cm      
05/25/0518,14:00,-069.5,cm      
05/26/0518,02:01,-069.2,cm      
05/26/0518,14:01,-069.2,cm      
05/27/0518,02:01,-067.4,cm      
05/27/0518,14:01,-070.6,cm      
05/28/0518,02:01,-062.7,cm      
05/28/0518,14:01,-071.3,cm      
05/29/0518,02:02,-066.3,cm      
05/29/0518,14:02,-070.0,cm      
05/30/0518,02:02,-069.3,cm      
05/30/0518,14:02,-070.5,cm      
05/31/0518,02:02,-070.7,cm      
05/31/0518,14:02,-071.3,cm      
06/01/0518,02:02,-072.0,cm      
06/01/0518,14:03,-069.7,cm      
06/02/0518,02:03,-066.7,cm      
06/02/0518,14:03,-066.0,cm      
06/03/0518,02:03,-070.7,cm      
06/03/0518,14:03,-067.4,cm      
06/04/0518,02:03,-071.4,cm      
06/04/0518,14:03,-070.0,cm      
06/05/0518,02:04,-071.9,cm      
06/05/0518,14:04,-071.6,cm      
06/06/0518,02:04,-072.1,cm      
06/06/0518,14:04,-072.2,cm      
06/07/0518,02:04,-070.8,cm      
06/07/0518,14:04,-074.0,cm      
06/08/0518,02:05,-074.4,cm      
06/08/0518,14:05,-076.4,cm      
06/09/0518,02:05,-076.3,cm      
06/09/0518,14:05,-077.9,cm      
06/10/0518,02:05,-078.1,cm      
06/10/0518,14:05,-079.3,cm      
06/11/0518,02:05,-080.5,cm      
06/11/0518,14:06,-079.0,cm      
06/12/0518,02:06,-079.9,cm      
06/12/0518,14:06,-083.0,cm      
06/13/0518,02:06,-085.0,cm      
06/13/0518,14:06,-086.1,cm      
06/14/0518,02:06,-087.3,cm      
06/14/0518,14:06,-087.5,cm      
06/15/0518,02:07,-087.4,cm      
06/15/0518,14:07,-089.3,cm      
06/16/0518,02:07,-089.8,cm      
06/16/0518,14:07,-091.0,cm      
06/17/0518,02:07,-090.2,cm      
06/17/0518,14:07,-079.8,cm      
06/18/0518,02:08,-079.9,cm      
06/18/0518,14:08,-083.1,cm      
06/19/0518,02:08,-084.7,cm      
06/19/0518,14:08,-078.8,cm      
06/20/0518,02:08,-077.9,cm      
06/20/0518,14:08,-078.7,cm      
06/21/0518,02:08,-078.6,cm      
06/21/0518,14:09,-079.4,cm      
06/22/0518,02:09,-080.2,cm      
06/22/0518,14:09,-080.7,cm      
06/23/0518,02:09,-082.2,cm      
06/23/0518,14:09,-081.3,cm      
06/24/0518,02:09,-085.1,cm      
06/24/0518,14:09,-085.5,cm      
06/25/0518,02:10,-087.7,cm      
06/25/0518,14:10,-087.8,cm      
06/26/0518,02:10,-080.9,cm      
06/26/0518,14:10,-084.8,cm      
06/27/0518,02:10,-088.7,cm      
06/27/0518,14:10,-088.7,cm      
06/28/0518,02:11,-089.5,cm      
06/28/0518,14:11,-089.3,cm      
06/29/0518,02:11,-090.3,cm      
06/29/0518,14:11,-090.8,cm      
06/30/0518,02:11,-090.3,cm      
06/30/0518,14:11,-090.5,cm      
07/01/0518,02:11,-083.5,cm      
07/01/0518,14:12,-086.9,cm      
07/02/0518,02:12,-090.0,cm      
07/02/0518,14:12,-088.4,cm      
07/03/0518,02:12,-076.6,cm      
07/03/0518,14:12,-080.2,cm      
07/04/0518,02:12,-081.3,cm      
07/04/0518,14:12,-080.6,cm      
07/05/0518,02:13,-083.1,cm      
07/05/0518,14:13,-082.6,cm      
07/06/0518,02:13,-086.4,cm      
07/06/0518,14:13,-086.6,cm      
07/07/0518,02:13,-088.0,cm      
07/07/0518,14:13,-088.3,cm      
07/08/0518,02:14,-090.4,cm      
07/08/0518,14:14,-090.4,cm      
07/09/0518,02:14,-091.3,cm      
07/09/0518,14:14,-091.8,cm      
07/10/0518,02:14,-090.9,cm      
07/10/0518,14:14,-093.0,cm      
07/11/0518,02:14,-092.7,cm      
07/11/0518,14:15,-077.7,cm      
07/12/0518,02:15,-083.5,cm      
07/12/0518,14:15,-084.1,cm      
07/13/0518,02:15,-086.3,cm      
07/13/0518,14:15,-087.0,cm      
07/14/0518,02:15,-088.8,cm      
07/14/0518,14:15,-089.2,cm      
07/15/0518,02:16,-089.9,cm      
07/15/0518,14:16,-091.8,cm      
07/16/0518,02:16,-091.6,cm      
07/16/0518,14:16,-093.2,cm      
07/17/0518,02:16,-093.1,cm      
07/17/0518,14:16,-096.1,cm      
07/18/0518,02:17,-078.9,cm      
07/18/0518,14:17,-079.0,cm      
07/19/0518,02:17,-084.0,cm      
07/19/0518,14:17,-084.3,cm      
07/20/0518,02:17,-088.4,cm      
07/20/0518,14:17,-088.9,cm      
07/21/0518,02:17,-089.4,cm      
07/21/0518,14:18,-091.1,cm      
07/22/0518,02:18,-091.9,cm      
07/22/0518,14:18,-093.1,cm      
