Ecotone Unit: Level Logger
Serial Number: 00001130E08D
Probe Number: 00001130E08D
Log Read: 6/21/2011 13:10:06
 
____Date___ ,Time ,_Level_,Units
11/24/2009,15:00,-027.5,cm      
11/24/2009,16:00,-027.9,cm      
11/24/2009,17:00,-027.9,cm      
11/24/2009,18:00,-027.9,cm      
11/24/2009,19:00,-028.2,cm      
11/24/2009,20:00,-028.1,cm      
11/24/2009,21:00,-027.9,cm      
11/24/2009,22:00,-027.7,cm      
11/24/2009,23:00,-027.7,cm      
11/25/2009,00:00,-027.9,cm      
11/25/2009,01:00,-027.9,cm      
11/25/2009,02:00,-027.9,cm      
11/25/2009,03:00,-027.8,cm      
11/25/2009,04:00,-027.8,cm      
11/25/2009,05:00,-027.8,cm      
11/25/2009,06:00,-027.8,cm      
11/25/2009,07:00,-027.8,cm      
11/25/2009,08:00,-027.2,cm      
11/25/2009,09:00,-026.5,cm      
11/25/2009,10:00,-026.3,cm      
11/25/2009,11:00,-026.3,cm      
11/25/2009,12:00,-026.4,cm      
11/25/2009,13:00,-026.2,cm      
11/25/2009,14:00,-026.1,cm      
11/25/2009,15:00,-026.5,cm      
11/25/2009,16:00,-026.9,cm      
11/25/2009,17:00,-027.2,cm      
11/25/2009,18:00,-027.3,cm      
11/25/2009,19:00,-027.2,cm      
11/25/2009,20:00,-027.3,cm      
11/25/2009,21:00,-027.5,cm      
11/25/2009,22:00,-027.5,cm      
11/25/2009,23:00,-027.6,cm      
11/26/2009,00:00,-027.7,cm      
11/26/2009,01:00,-027.7,cm      
11/26/2009,02:00,-027.8,cm      
11/26/2009,03:00,-027.7,cm      
11/26/2009,04:00,-027.7,cm      
11/26/2009,05:00,-027.6,cm      
11/26/2009,06:00,-027.7,cm      
11/26/2009,07:00,-027.6,cm      
11/26/2009,08:00,-027.6,cm      
11/26/2009,09:00,-027.7,cm      
11/26/2009,10:00,-027.9,cm      
11/26/2009,11:00,-028.2,cm      
11/26/2009,12:00,-028.5,cm      
11/26/2009,13:00,-028.6,cm      
11/26/2009,14:00,-028.6,cm      
11/26/2009,15:00,-028.6,cm      
11/26/2009,16:00,-028.7,cm      
11/26/2009,17:00,-028.6,cm      
11/26/2009,18:00,-028.6,cm      
11/26/2009,19:00,-028.6,cm      
11/26/2009,20:00,-028.6,cm      
11/26/2009,21:00,-028.6,cm      
11/26/2009,22:00,-028.6,cm      
11/26/2009,23:00,-028.6,cm      
11/27/2009,00:00,-028.5,cm      
11/27/2009,01:00,-028.5,cm      
11/27/2009,02:00,-028.0,cm      
11/27/2009,03:00,-027.6,cm      
11/27/2009,04:00,-027.2,cm      
11/27/2009,05:00,-027.2,cm      
11/27/2009,06:00,-027.4,cm      
11/27/2009,07:00,-027.2,cm      
11/27/2009,08:00,-027.2,cm      
11/27/2009,09:00,-027.3,cm      
11/27/2009,10:00,-027.2,cm      
11/27/2009,11:00,-026.4,cm      
11/27/2009,12:00,-026.3,cm      
11/27/2009,13:00,-026.5,cm      
11/27/2009,14:00,-026.5,cm      
11/27/2009,15:00,-026.5,cm      
11/27/2009,16:00,-026.5,cm      
11/27/2009,17:00,-026.5,cm      
11/27/2009,18:00,-026.6,cm      
11/27/2009,19:00,-026.4,cm      
11/27/2009,20:00,-026.5,cm      
11/27/2009,21:00,-026.6,cm      
11/27/2009,22:00,-026.6,cm      
11/27/2009,23:00,-026.6,cm      
11/28/2009,00:00,-026.7,cm      
11/28/2009,01:00,-026.8,cm      
11/28/2009,02:00,-027.0,cm      
11/28/2009,03:00,-027.1,cm      
11/28/2009,04:00,-027.1,cm      
11/28/2009,05:00,-027.2,cm      
11/28/2009,06:00,-027.4,cm      
11/28/2009,07:00,-027.4,cm      
11/28/2009,08:00,-027.5,cm      
11/28/2009,09:00,-027.6,cm      
11/28/2009,10:00,-027.6,cm      
11/28/2009,11:00,-027.1,cm      
11/28/2009,12:00,-027.1,cm      
11/28/2009,13:00,-026.5,cm      
11/28/2009,14:00,-026.7,cm      
11/28/2009,15:00,-026.3,cm      
11/28/2009,16:00,-026.5,cm      
11/28/2009,17:00,-027.2,cm      
11/28/2009,18:00,-027.4,cm      
11/28/2009,19:00,-027.4,cm      
11/28/2009,20:00,-027.4,cm      
11/28/2009,21:00,-027.4,cm      
11/28/2009,22:00,-027.4,cm      
11/28/2009,23:00,-027.4,cm      
11/29/2009,00:00,-027.6,cm      
11/29/2009,01:00,-027.4,cm      
11/29/2009,02:00,-027.4,cm      
11/29/2009,03:00,-027.5,cm      
11/29/2009,04:00,-027.4,cm      
11/29/2009,05:00,-027.4,cm      
