Ecotone Unit: Level Logger
Serial Number: 00001130E43F
Probe Number: 00001130E43F
Log Read: 9/19/2008 10:54:22
 
____Date___ ,Time ,_Level_,Units
06/16/2008,13:00,-054.6,cm      
06/16/2008,14:00,-054.6,cm      
06/16/2008,15:00,-054.5,cm      
06/16/2008,16:00,-054.5,cm      
06/16/2008,17:00,-054.5,cm      
06/16/2008,18:00,-054.5,cm      
06/16/2008,19:00,-054.5,cm      
06/16/2008,20:00,-054.5,cm      
06/16/2008,21:00,-054.6,cm      
06/16/2008,22:00,-054.6,cm      
06/16/2008,23:00,-054.6,cm      
06/17/2008,00:00,-054.7,cm      
06/17/2008,01:00,-054.7,cm      
06/17/2008,02:00,-054.7,cm      
06/17/2008,03:00,-054.7,cm      
06/17/2008,04:00,-054.7,cm      
06/17/2008,05:00,-054.7,cm      
06/17/2008,06:00,-054.7,cm      
06/17/2008,07:00,-054.7,cm      
06/17/2008,08:00,-054.7,cm      
06/17/2008,09:00,-054.8,cm      
06/17/2008,10:00,-054.8,cm      
06/17/2008,11:00,-044.9,cm      
06/17/2008,12:00,-044.4,cm      
06/17/2008,13:00,-044.6,cm      
06/17/2008,14:00,-044.9,cm      
06/17/2008,15:00,-045.2,cm      
06/17/2008,16:00,-045.4,cm      
06/17/2008,17:00,-045.5,cm      
06/17/2008,18:00,-045.8,cm      
06/17/2008,19:00,-045.9,cm      
06/17/2008,20:00,-046.1,cm      
06/17/2008,21:00,-046.2,cm      
06/17/2008,22:00,-046.4,cm      
06/17/2008,23:00,-046.6,cm      
06/18/2008,00:00,-046.7,cm      
06/18/2008,01:00,-046.8,cm      
06/18/2008,02:00,-046.8,cm      
06/18/2008,03:00,-046.9,cm      
06/18/2008,04:00,-046.9,cm      
06/18/2008,05:00,-047.0,cm      
06/18/2008,06:00,-047.1,cm      
06/18/2008,07:00,-047.3,cm      
06/18/2008,08:00,-047.4,cm      
06/18/2008,09:00,-047.7,cm      
06/18/2008,10:00,-047.8,cm      
06/18/2008,11:00,-048.0,cm      
06/18/2008,12:00,-048.0,cm      
06/18/2008,13:00,-048.3,cm      
06/18/2008,14:00,-048.6,cm      
06/18/2008,15:00,-048.9,cm      
06/18/2008,16:00,-049.1,cm      
06/18/2008,17:00,-049.4,cm      
06/18/2008,18:00,-049.7,cm      
06/18/2008,19:00,-049.9,cm      
06/18/2008,20:00,-049.9,cm      
06/18/2008,21:00,-050.0,cm      
06/18/2008,22:00,-050.0,cm      
06/18/2008,23:00,-050.0,cm      
06/19/2008,00:00,-050.0,cm      
06/19/2008,01:00,-050.0,cm      
06/19/2008,02:00,-050.0,cm      
06/19/2008,03:00,-050.0,cm      
06/19/2008,04:00,-050.0,cm      
06/19/2008,05:00,-050.0,cm      
06/19/2008,06:00,-050.0,cm      
06/19/2008,07:00,-049.9,cm      
06/19/2008,08:00,-049.9,cm      
06/19/2008,09:00,-049.9,cm      
06/19/2008,10:00,-049.9,cm      
06/19/2008,11:00,-049.9,cm      
06/19/2008,12:00,-049.8,cm      
06/19/2008,13:00,-049.8,cm      
06/19/2008,14:00,-049.9,cm      
06/19/2008,15:00,-049.9,cm      
06/19/2008,16:00,-049.8,cm      
06/19/2008,17:00,-049.8,cm      
06/19/2008,18:00,-049.9,cm      
06/19/2008,19:00,-049.9,cm      
06/19/2008,20:00,-049.9,cm      
06/19/2008,21:00,-050.0,cm      
06/19/2008,22:00,-050.0,cm      
06/19/2008,23:00,-050.0,cm      
06/20/2008,00:00,-050.0,cm      
06/20/2008,01:00,-050.0,cm      
06/20/2008,02:00,-050.0,cm      
06/20/2008,03:00,-050.0,cm      
06/20/2008,04:00,-050.0,cm      
06/20/2008,05:00,-050.0,cm      
06/20/2008,06:00,-050.0,cm      
06/20/2008,07:00,-050.0,cm      
06/20/2008,08:00,-050.0,cm      
06/20/2008,09:00,-049.9,cm      
06/20/2008,10:00,-049.8,cm      
06/20/2008,11:00,-049.6,cm      
06/20/2008,12:00,-049.6,cm      
06/20/2008,13:00,-049.7,cm      
06/20/2008,14:00,-049.6,cm      
06/20/2008,15:00,-049.7,cm      
06/20/2008,16:00,-049.6,cm      
06/20/2008,17:00,-049.7,cm      
06/20/2008,18:00,-049.9,cm      
06/20/2008,19:00,-049.9,cm      
06/20/2008,20:00,-049.9,cm      
06/20/2008,21:00,-050.0,cm      
06/20/2008,22:00,-050.0,cm      
06/20/2008,23:00,-050.0,cm      
06/21/2008,00:00,-050.0,cm      
06/21/2008,01:00,-050.0,cm      
06/21/2008,02:00,-050.0,cm      
06/21/2008,03:00,-050.0,cm      
06/21/2008,04:00,-050.0,cm      
06/21/2008,05:00,-050.0,cm      
06/21/2008,06:00,-050.0,cm      
06/21/2008,07:00,-050.0,cm      
06/21/2008,08:00,-049.9,cm      
06/21/2008,09:00,-049.9,cm      
06/21/2008,10:00,-049.9,cm      
06/21/2008,11:00,-049.9,cm      
06/21/2008,12:00,-049.7,cm      
06/21/2008,13:00,-049.8,cm      
06/21/2008,14:00,-049.8,cm      
06/21/2008,15:00,-049.8,cm      
06/21/2008,16:00,-049.8,cm      
06/21/2008,17:00,-049.9,cm      
06/21/2008,18:00,-019.9,cm      
06/21/2008,19:00,-008.2,cm      
06/21/2008,20:00,-012.4,cm      
06/21/2008,21:00,-014.9,cm      
06/21/2008,22:00,-016.4,cm      
06/21/2008,23:00,-017.4,cm      
06/22/2008,00:00,-018.2,cm      
06/22/2008,01:00,-018.9,cm      
06/22/2008,02:00,-019.2,cm      
06/22/2008,03:00,-019.5,cm      
06/22/2008,04:00,-020.1,cm      
06/22/2008,05:00,-020.4,cm      
06/22/2008,06:00,-020.8,cm      
06/22/2008,07:00,-021.0,cm      
06/22/2008,08:00,-021.2,cm      
06/22/2008,09:00,-021.4,cm      
06/22/2008,10:00,-021.5,cm      
