Ecotone Unit: Level Logger
Serial Number: 00001130E9AC
Probe Number: 00001130E9AC
Log Read: 11/8/2012 11:19:01
 
____Date___ ,Time ,_Level_,Units
07/18/2012,13:00,-103.4,cm      
07/18/2012,14:00,-103.2,cm      
07/18/2012,15:00,-103.2,cm      
07/18/2012,16:00,-103.4,cm      
07/18/2012,17:00,-103.4,cm      
07/18/2012,18:00,-103.6,cm      
07/18/2012,19:00,-103.8,cm      
07/18/2012,20:00,-103.9,cm      
07/18/2012,21:00,-104.0,cm      
07/18/2012,22:00,-104.0,cm      
07/18/2012,23:00,-104.3,cm      
07/19/2012,00:00,-104.3,cm      
07/19/2012,01:00,-104.3,cm      
07/19/2012,02:00,-104.3,cm      
07/19/2012,03:00,-104.2,cm      
07/19/2012,04:00,-103.9,cm      
07/19/2012,05:00,-103.8,cm      
07/19/2012,06:00,-103.8,cm      
07/19/2012,07:00,-103.8,cm      
07/19/2012,08:00,-103.7,cm      
07/19/2012,09:00,-103.7,cm      
07/19/2012,10:00,-103.5,cm      
07/19/2012,11:00,-096.7,cm      
07/19/2012,12:00,-028.6,cm      
07/19/2012,13:00,-030.9,cm      
07/19/2012,14:00,-029.8,cm      
07/19/2012,15:00,-027.7,cm      
07/19/2012,16:00,-028.3,cm      
07/19/2012,17:00,-030.2,cm      
07/19/2012,18:00,-035.5,cm      
07/19/2012,19:00,-039.5,cm      
07/19/2012,20:00,-048.4,cm      
07/19/2012,21:00,-053.7,cm      
07/19/2012,22:00,-058.4,cm      
07/19/2012,23:00,-061.1,cm      
07/20/2012,00:00,-062.6,cm      
07/20/2012,01:00,-063.7,cm      
07/20/2012,02:00,-064.6,cm      
07/20/2012,03:00,-065.6,cm      
07/20/2012,04:00,-066.3,cm      
07/20/2012,05:00,-067.0,cm      
07/20/2012,06:00,-067.6,cm      
07/20/2012,07:00,-068.1,cm      
07/20/2012,08:00,-068.5,cm      
07/20/2012,09:00,-068.8,cm      
07/20/2012,10:00,-069.0,cm      
07/20/2012,11:00,-069.1,cm      
