Ecotone Unit: Rain Logger
Serial Number: 00001130EE2D
Log Read: 6/22/2011 13:30:56
 
____Date___ ,Time ,Rainfall
01/02/2009,10:39,0.200
01/04/2009,13:55,0.200
01/04/2009,13:56,0.200
01/04/2009,13:57,0.200
01/04/2009,14:56,0.200
01/04/2009,16:30,0.200
01/07/2009,03:19,0.200
01/07/2009,03:28,0.200
01/07/2009,03:31,0.200
01/07/2009,03:35,0.200
01/07/2009,03:38,0.200
01/07/2009,03:41,0.200
01/07/2009,03:43,0.200
01/07/2009,03:45,0.200
01/07/2009,03:46,0.200
01/07/2009,03:48,0.200
01/07/2009,03:50,0.200
01/07/2009,03:51,0.200
01/07/2009,03:53,0.200
01/07/2009,03:54,0.200
01/07/2009,03:56,0.200
01/07/2009,03:58,0.200
01/07/2009,03:59,0.200
01/07/2009,04:01,0.200
01/07/2009,04:04,0.200
01/07/2009,04:07,0.200
01/07/2009,04:14,0.200
01/07/2009,04:26,0.200
01/07/2009,04:34,0.200
01/07/2009,04:44,0.200
01/07/2009,05:09,0.200
01/07/2009,05:41,0.200
01/07/2009,06:00,0.200
01/07/2009,06:19,0.200
01/07/2009,06:21,0.200
01/07/2009,06:30,0.200
01/07/2009,07:08,0.200
01/07/2009,08:57,0.200
01/07/2009,10:26,0.200
01/07/2009,13:51,0.200
01/09/2009,12:12,0.200
01/09/2009,12:29,0.200
01/09/2009,12:48,0.200
01/09/2009,13:16,0.200
01/09/2009,14:04,0.200
01/12/2009,11:47,0.200
01/12/2009,12:15,0.200
01/12/2009,12:40,0.200
01/12/2009,13:03,0.200
01/12/2009,14:45,0.200
01/12/2009,15:38,0.200
01/13/2009,11:53,0.200
01/13/2009,12:34,0.200
01/13/2009,13:20,0.200
01/19/2009,12:55,0.200
01/22/2009,11:43,0.200
01/22/2009,12:34,0.200
01/22/2009,12:51,0.200
01/22/2009,13:02,0.200
01/22/2009,13:17,0.200
01/22/2009,13:27,0.200
01/22/2009,13:41,0.200
01/22/2009,13:57,0.200
01/22/2009,14:14,0.200
01/22/2009,14:27,0.200
01/22/2009,14:44,0.200
01/22/2009,15:00,0.200
01/22/2009,15:36,0.200
01/22/2009,17:12,0.200
01/23/2009,09:38,0.200
01/23/2009,09:56,0.200
01/23/2009,10:08,0.200
01/23/2009,10:16,0.200
01/23/2009,10:25,0.200
01/23/2009,10:29,0.200
01/23/2009,10:34,0.200
01/23/2009,10:37,0.200
01/23/2009,10:41,0.200
01/23/2009,10:46,0.200
01/23/2009,10:52,0.200
01/23/2009,10:55,0.200
01/23/2009,11:00,0.200
01/23/2009,11:05,0.200
01/23/2009,11:10,0.200
01/23/2009,11:14,0.200
01/23/2009,11:20,0.200
01/23/2009,11:25,0.200
01/23/2009,11:30,0.200
01/23/2009,11:33,0.200
01/23/2009,11:38,0.200
01/23/2009,11:41,0.200
01/23/2009,11:45,0.200
01/23/2009,11:49,0.200
01/23/2009,11:53,0.200
01/23/2009,11:58,0.200
01/23/2009,12:03,0.200
01/23/2009,12:07,0.200
01/23/2009,12:13,0.200
01/23/2009,12:18,0.200
01/23/2009,12:23,0.200
01/23/2009,12:27,0.200
01/23/2009,12:36,0.200
01/23/2009,12:44,0.200
01/23/2009,12:54,0.200
01/23/2009,13:05,0.200
01/23/2009,13:17,0.200
01/23/2009,13:29,0.200
01/23/2009,13:45,0.200
01/23/2009,14:04,0.200
01/23/2009,14:35,0.200
01/23/2009,15:08,0.200
01/23/2009,18:41,0.200
01/26/2009,11:14,0.200
01/26/2009,11:59,0.200
01/26/2009,12:23,0.200
01/26/2009,15:36,0.200
01/31/2009,11:22,0.200
02/01/2009,04:32,0.200
02/01/2009,04:47,0.200
02/01/2009,05:14,0.200
02/01/2009,05:26,0.200
02/01/2009,05:48,0.200
02/01/2009,06:07,0.200
02/01/2009,06:36,0.200
02/01/2009,07:00,0.200
02/01/2009,07:31,0.200
02/01/2009,08:04,0.200
02/01/2009,08:39,0.200
02/01/2009,08:59,0.200
02/01/2009,09:07,0.200
02/01/2009,09:12,0.200
02/01/2009,09:21,0.200
02/01/2009,09:29,0.200
02/01/2009,09:40,0.200
02/01/2009,09:46,0.200
02/01/2009,09:53,0.200
02/01/2009,09:58,0.200
02/01/2009,10:04,0.200
02/01/2009,10:09,0.200
02/01/2009,10:17,0.200
02/01/2009,10:23,0.200
02/01/2009,10:29,0.200
02/01/2009,10:34,0.200
02/01/2009,10:44,0.200
02/01/2009,10:51,0.200
02/01/2009,10:58,0.200
02/01/2009,11:03,0.200
02/01/2009,11:10,0.200
02/01/2009,11:14,0.200
02/01/2009,11:20,0.200
02/01/2009,11:24,0.200
02/01/2009,11:32,0.200
02/01/2009,11:38,0.200
02/01/2009,11:45,0.200
02/01/2009,11:50,0.200
02/01/2009,11:59,0.200
02/01/2009,12:06,0.200
02/01/2009,12:16,0.200
02/01/2009,12:25,0.200
02/01/2009,12:36,0.200
02/01/2009,12:51,0.200
02/01/2009,13:01,0.200
02/01/2009,13:11,0.200
02/01/2009,13:25,0.200
02/01/2009,13:37,0.200
02/01/2009,14:03,0.200
02/01/2009,14:23,0.200
02/01/2009,16:38,0.200
02/05/2009,10:13,0.200
02/05/2009,10:28,0.200
02/05/2009,10:38,0.200
02/05/2009,10:56,0.200
02/05/2009,11:06,0.200
02/05/2009,11:16,0.200
02/05/2009,11:25,0.200
02/05/2009,11:37,0.200
02/05/2009,11:49,0.200
02/05/2009,12:03,0.200
02/05/2009,12:12,0.200
02/05/2009,12:26,0.200
02/05/2009,12:39,0.200
02/05/2009,13:02,0.200
02/05/2009,13:19,0.200
02/06/2009,12:31,0.200
02/10/2009,04:28,0.200
02/10/2009,04:37,0.200
02/10/2009,04:41,0.200
02/10/2009,04:44,0.200
02/10/2009,04:47,0.200
02/10/2009,04:49,0.200
02/10/2009,04:51,0.200
02/10/2009,04:53,0.200
02/10/2009,04:55,0.200
02/10/2009,04:57,0.200
02/10/2009,04:58,0.200
02/10/2009,05:01,0.200
02/10/2009,05:02,0.200
02/10/2009,05:04,0.200
02/10/2009,05:06,0.200
02/10/2009,05:09,0.200
02/10/2009,05:10,0.200
02/10/2009,05:13,0.200
02/10/2009,05:15,0.200
02/10/2009,05:16,0.200
02/10/2009,05:17,0.200
02/10/2009,05:19,0.200
02/10/2009,05:21,0.200
02/10/2009,05:22,0.200
02/10/2009,05:23,0.200
02/10/2009,05:26,0.200
02/10/2009,05:28,0.200
02/10/2009,05:31,0.200
02/10/2009,05:35,0.200
02/10/2009,05:48,0.200
02/10/2009,05:56,0.200
02/10/2009,06:19,0.200
02/11/2009,05:59,0.200
02/11/2009,06:39,0.200
02/11/2009,06:41,0.200
02/11/2009,06:43,0.200
02/11/2009,06:43,0.200
02/11/2009,06:44,0.200
02/11/2009,06:45,0.200
02/11/2009,06:47,0.200
02/11/2009,06:49,0.200
02/11/2009,06:51,0.200
02/11/2009,06:53,0.200
02/11/2009,06:55,0.200
02/11/2009,06:57,0.200
02/11/2009,06:59,0.200
02/11/2009,07:00,0.200
02/11/2009,07:02,0.200
02/11/2009,07:03,0.200
02/11/2009,07:06,0.200
02/11/2009,07:10,0.200
02/11/2009,07:14,0.200
02/11/2009,07:16,0.200
02/11/2009,07:17,0.200
02/11/2009,07:18,0.200
02/11/2009,07:21,0.200
02/11/2009,07:23,0.200
02/11/2009,07:29,0.200
02/11/2009,07:33,0.200
02/11/2009,07:47,0.200
02/11/2009,07:49,0.200
02/11/2009,07:50,0.200
02/11/2009,07:52,0.200
02/11/2009,07:54,0.200
02/11/2009,07:56,0.200
02/11/2009,08:05,0.200
02/11/2009,08:07,0.200
02/11/2009,08:09,0.200
02/11/2009,08:11,0.200
02/11/2009,08:13,0.200
02/11/2009,08:15,0.200
02/11/2009,08:17,0.200
02/11/2009,08:19,0.200
02/11/2009,08:23,0.200
02/11/2009,08:27,0.200
02/11/2009,08:31,0.200
02/11/2009,08:35,0.200
02/11/2009,08:38,0.200
02/11/2009,08:42,0.200
02/11/2009,08:47,0.200
02/11/2009,08:49,0.200
02/11/2009,08:52,0.200
02/11/2009,08:55,0.200
02/11/2009,08:58,0.200
02/11/2009,09:01,0.200
02/11/2009,09:04,0.200
02/11/2009,09:09,0.200
02/11/2009,09:12,0.200
02/11/2009,09:18,0.200
02/11/2009,09:26,0.200
02/11/2009,09:28,0.200
02/11/2009,09:30,0.200
02/11/2009,09:31,0.200
02/11/2009,09:33,0.200
02/11/2009,09:37,0.200
02/11/2009,09:40,0.200
02/11/2009,09:44,0.200
02/11/2009,09:51,0.200
02/11/2009,09:53,0.200
02/11/2009,09:56,0.200
02/11/2009,09:57,0.200
02/11/2009,09:58,0.200
02/11/2009,09:59,0.200
02/11/2009,10:01,0.200
02/11/2009,10:02,0.200
02/11/2009,10:05,0.200
02/11/2009,10:07,0.200
02/11/2009,10:09,0.200
02/11/2009,10:16,0.200
02/11/2009,16:51,0.200
02/11/2009,17:20,0.200
02/11/2009,17:58,0.200
02/11/2009,18:47,0.200
02/11/2009,18:53,0.200
02/11/2009,18:55,0.200
02/11/2009,18:57,0.200
02/11/2009,19:01,0.200
02/11/2009,19:08,0.200
02/11/2009,19:09,0.200
02/11/2009,19:10,0.200
02/11/2009,19:11,0.200
02/11/2009,19:12,0.200
02/11/2009,19:14,0.200
02/11/2009,19:15,0.200
02/11/2009,19:17,0.200
02/11/2009,19:22,0.200
02/11/2009,19:26,0.200
02/11/2009,19:30,0.200
02/11/2009,19:34,0.200
02/11/2009,19:37,0.200
02/11/2009,19:39,0.200
02/11/2009,19:42,0.200
02/11/2009,19:44,0.200
02/11/2009,19:48,0.200
02/11/2009,19:58,0.200
02/11/2009,22:46,0.200
02/11/2009,22:51,0.200
02/11/2009,23:15,0.200
02/11/2009,23:23,0.200
02/11/2009,23:27,0.200
02/11/2009,23:28,0.200
02/11/2009,23:55,0.200
02/12/2009,00:02,0.200
02/12/2009,00:08,0.200
02/12/2009,00:12,0.200
02/12/2009,00:16,0.200
02/12/2009,00:20,0.200
02/12/2009,00:24,0.200
02/12/2009,00:28,0.200
02/12/2009,00:31,0.200
02/12/2009,00:34,0.200
02/12/2009,00:38,0.200
02/12/2009,00:41,0.200
02/12/2009,00:45,0.200
02/12/2009,00:49,0.200
02/12/2009,00:55,0.200
02/12/2009,01:01,0.200
02/12/2009,01:07,0.200
02/12/2009,01:16,0.200
02/12/2009,01:28,0.200
