Ecotone Unit: Level Logger
Serial Number: 00001130F7EF
Probe Number: 00001130F7EF
Log Read: 9/6/2011 17:24:39
 
____Date___ ,Time ,_Level_,Units
08/09/2011,13:00,-027.7,cm      
08/09/2011,14:00,-029.2,cm      
08/09/2011,15:00,-029.8,cm      
08/09/2011,16:00,-030.0,cm      
08/09/2011,17:00,-030.3,cm      
08/09/2011,18:00,-030.6,cm      
08/09/2011,19:00,-030.6,cm      
08/09/2011,20:00,-030.5,cm      
08/09/2011,21:00,-027.0,cm      
08/09/2011,22:00,-028.6,cm      
08/09/2011,23:00,-027.8,cm      
08/10/2011,00:00,-026.4,cm      
08/10/2011,01:00,-025.9,cm      
08/10/2011,02:00,-025.5,cm      
08/10/2011,03:00,-025.2,cm      
08/10/2011,04:00,-025.0,cm      
08/10/2011,05:00,-025.0,cm      
08/10/2011,06:00,-025.0,cm      
08/10/2011,07:00,-025.0,cm      
08/10/2011,08:00,-025.1,cm      
08/10/2011,09:00,-025.0,cm      
08/10/2011,10:00,-024.2,cm      
08/10/2011,11:00,-025.2,cm      
08/10/2011,12:00,-025.4,cm      
08/10/2011,13:00,-025.5,cm      
08/10/2011,14:00,-025.3,cm      
08/10/2011,15:00,-025.2,cm      
08/10/2011,16:00,-025.1,cm      
08/10/2011,17:00,-025.1,cm      
08/10/2011,18:00,-025.1,cm      
08/10/2011,19:00,-025.0,cm      
08/10/2011,20:00,-024.9,cm      
08/10/2011,21:00,-025.0,cm      
08/10/2011,22:00,-025.2,cm      
08/10/2011,23:00,-025.2,cm      
08/11/2011,00:00,-025.4,cm      
08/11/2011,01:00,-025.5,cm      
08/11/2011,02:00,-025.6,cm      
08/11/2011,03:00,-025.7,cm      
08/11/2011,04:00,-025.8,cm      
08/11/2011,05:00,-025.9,cm      
08/11/2011,06:00,-026.1,cm      
08/11/2011,07:00,-026.1,cm      
08/11/2011,08:00,-026.1,cm      
08/11/2011,09:00,-026.0,cm      
08/11/2011,10:00,-026.1,cm      
08/11/2011,11:00,-026.3,cm      
08/11/2011,12:00,-026.5,cm      
08/11/2011,13:00,-026.7,cm      
08/11/2011,14:00,-026.6,cm      
08/11/2011,15:00,-026.5,cm      
08/11/2011,16:00,-026.6,cm      
08/11/2011,17:00,-026.7,cm      
08/11/2011,18:00,-026.7,cm      
08/11/2011,19:00,-026.7,cm      
08/11/2011,20:00,-026.7,cm      
08/11/2011,21:00,-027.0,cm      
08/11/2011,22:00,-027.2,cm      
08/11/2011,23:00,-027.5,cm      
08/12/2011,00:00,-027.7,cm      
08/12/2011,01:00,-027.9,cm      
08/12/2011,02:00,-028.0,cm      
08/12/2011,03:00,-028.2,cm      
08/12/2011,04:00,-028.4,cm      
08/12/2011,05:00,-028.5,cm      
08/12/2011,06:00,-028.7,cm      
08/12/2011,07:00,-028.8,cm      
08/12/2011,08:00,-028.9,cm      
08/12/2011,09:00,-028.8,cm      
08/12/2011,10:00,-028.5,cm      
08/12/2011,11:00,-028.7,cm      
08/12/2011,12:00,-028.9,cm      
08/12/2011,13:00,-029.0,cm      
08/12/2011,14:00,-029.0,cm      
08/12/2011,15:00,-028.9,cm      
08/12/2011,16:00,-028.9,cm      
