Ecotone Unit: Level Logger
Serial Number: 00001130FA67
Probe Number: 00001130FA67
Log Read: 9/19/2008 10:13:12
 
____Date___ ,Time ,_Level_,Units
06/17/2008,13:00,-053.1,cm      
06/17/2008,14:00,-053.2,cm      
06/17/2008,15:00,-053.3,cm      
06/17/2008,16:00,-053.4,cm      
06/17/2008,17:00,-053.4,cm      
06/17/2008,18:00,-053.5,cm      
06/17/2008,19:00,-053.5,cm      
06/17/2008,20:00,-053.6,cm      
06/17/2008,21:00,-053.7,cm      
06/17/2008,22:00,-053.7,cm      
06/17/2008,23:00,-053.8,cm      
06/18/2008,00:00,-053.8,cm      
06/18/2008,01:00,-053.9,cm      
06/18/2008,02:00,-054.0,cm      
06/18/2008,03:00,-054.0,cm      
06/18/2008,04:00,-054.1,cm      
06/18/2008,05:00,-054.2,cm      
06/18/2008,06:00,-054.2,cm      
06/18/2008,07:00,-054.3,cm      
06/18/2008,08:00,-054.4,cm      
06/18/2008,09:00,-054.5,cm      
06/18/2008,10:00,-054.5,cm      
06/18/2008,11:00,-054.6,cm      
06/18/2008,12:00,-054.6,cm      
06/18/2008,13:00,-054.6,cm      
06/18/2008,14:00,-054.7,cm      
06/18/2008,15:00,-054.7,cm      
06/18/2008,16:00,-054.8,cm      
06/18/2008,17:00,-054.9,cm      
06/18/2008,18:00,-055.0,cm      
06/18/2008,19:00,-055.0,cm      
06/18/2008,20:00,-055.1,cm      
06/18/2008,21:00,-055.1,cm      
06/18/2008,22:00,-055.2,cm      
06/18/2008,23:00,-055.1,cm      
06/19/2008,00:00,-055.1,cm      
06/19/2008,01:00,-055.1,cm      
06/19/2008,02:00,-055.1,cm      
06/19/2008,03:00,-055.1,cm      
06/19/2008,04:00,-055.2,cm      
06/19/2008,05:00,-055.3,cm      
06/19/2008,06:00,-055.4,cm      
06/19/2008,07:00,-055.7,cm      
06/19/2008,08:00,-055.7,cm      
06/19/2008,09:00,-055.7,cm      
06/19/2008,10:00,-055.9,cm      
06/19/2008,11:00,-056.1,cm      
06/19/2008,12:00,-056.1,cm      
06/19/2008,13:00,-056.1,cm      
06/19/2008,14:00,-056.2,cm      
06/19/2008,15:00,-056.2,cm      
06/19/2008,16:00,-056.2,cm      
06/19/2008,17:00,-056.2,cm      
06/19/2008,18:00,-056.3,cm      
06/19/2008,19:00,-056.2,cm      
06/19/2008,20:00,-056.5,cm      
06/19/2008,21:00,-056.6,cm      
06/19/2008,22:00,-056.7,cm      
06/19/2008,23:00,-056.7,cm      
06/20/2008,00:00,-056.7,cm      
06/20/2008,01:00,-056.7,cm      
06/20/2008,02:00,-056.8,cm      
06/20/2008,03:00,-056.7,cm      
06/20/2008,04:00,-056.9,cm      
06/20/2008,05:00,-056.8,cm      
06/20/2008,06:00,-056.9,cm      
06/20/2008,07:00,-056.9,cm      
06/20/2008,08:00,-057.2,cm      
06/20/2008,09:00,-057.2,cm      
06/20/2008,10:00,-057.3,cm      
06/20/2008,11:00,-057.4,cm      
06/20/2008,12:00,-057.5,cm      
06/20/2008,13:00,-057.4,cm      
06/20/2008,14:00,-057.3,cm      
06/20/2008,15:00,-057.4,cm      
06/20/2008,16:00,-057.4,cm      
06/20/2008,17:00,-057.4,cm      
06/20/2008,18:00,-057.5,cm      
06/20/2008,19:00,-057.5,cm      
06/20/2008,20:00,-057.9,cm      
06/20/2008,21:00,-058.1,cm      
06/20/2008,22:00,-058.1,cm      
06/20/2008,23:00,-058.1,cm      
06/21/2008,00:00,-058.1,cm      
06/21/2008,01:00,-058.2,cm      
06/21/2008,02:00,-058.3,cm      
06/21/2008,03:00,-058.3,cm      
06/21/2008,04:00,-058.3,cm      
06/21/2008,05:00,-058.4,cm      
06/21/2008,06:00,-058.5,cm      
06/21/2008,07:00,-058.5,cm      
06/21/2008,08:00,-058.7,cm      
06/21/2008,09:00,-058.9,cm      
06/21/2008,10:00,-058.9,cm      
06/21/2008,11:00,-058.9,cm      
06/21/2008,12:00,-058.9,cm      
06/21/2008,13:00,-059.0,cm      
06/21/2008,14:00,-059.0,cm      
06/21/2008,15:00,-059.1,cm      
06/21/2008,16:00,-059.2,cm      
06/21/2008,17:00,-059.2,cm      
06/21/2008,18:00,-057.1,cm      
06/21/2008,19:00,-056.1,cm      
06/21/2008,20:00,-055.0,cm      
06/21/2008,21:00,-053.7,cm      
06/21/2008,22:00,-052.8,cm      
06/21/2008,23:00,-052.1,cm      
06/22/2008,00:00,-051.5,cm      
06/22/2008,01:00,-051.2,cm      
06/22/2008,02:00,-051.0,cm      
06/22/2008,03:00,-050.8,cm      
06/22/2008,04:00,-050.6,cm      
06/22/2008,05:00,-050.5,cm      
06/22/2008,06:00,-050.4,cm      
06/22/2008,07:00,-050.4,cm      
06/22/2008,08:00,-050.4,cm      
06/22/2008,09:00,-050.3,cm      
06/22/2008,10:00,-050.2,cm      
06/22/2008,11:00,-050.2,cm      
06/22/2008,12:00,-050.1,cm      
06/22/2008,13:00,-050.1,cm      
06/22/2008,14:00,-049.6,cm      
06/22/2008,15:00,-049.1,cm      
06/22/2008,16:00,-047.7,cm      
06/22/2008,17:00,-045.5,cm      
06/22/2008,18:00,-043.3,cm      
06/22/2008,19:00,-042.2,cm      
06/22/2008,20:00,-042.1,cm      
06/22/2008,21:00,-042.1,cm      
06/22/2008,22:00,-042.2,cm      
06/22/2008,23:00,-042.5,cm      
06/23/2008,00:00,-042.8,cm      
06/23/2008,01:00,-043.1,cm      
06/23/2008,02:00,-043.3,cm      
06/23/2008,03:00,-043.3,cm      
06/23/2008,04:00,-043.5,cm      
06/23/2008,05:00,-043.6,cm      
06/23/2008,06:00,-043.6,cm      
06/23/2008,07:00,-043.6,cm      
06/23/2008,08:00,-043.6,cm      
06/23/2008,09:00,-043.8,cm      
06/23/2008,10:00,-044.1,cm      
06/23/2008,11:00,-044.1,cm      
06/23/2008,12:00,-044.1,cm      
06/23/2008,13:00,-044.1,cm      
06/23/2008,14:00,-044.2,cm      
06/23/2008,15:00,-044.2,cm      
06/23/2008,16:00,-044.1,cm      
06/23/2008,17:00,-044.1,cm      
06/23/2008,18:00,-044.1,cm      
06/23/2008,19:00,-044.2,cm      
06/23/2008,20:00,-044.3,cm      
06/23/2008,21:00,-044.3,cm      
06/23/2008,22:00,-044.4,cm      
06/23/2008,23:00,-044.3,cm      
06/24/2008,00:00,-044.4,cm      
06/24/2008,01:00,-044.4,cm      
06/24/2008,02:00,-044.4,cm      
06/24/2008,03:00,-044.4,cm      
06/24/2008,04:00,-044.4,cm      
06/24/2008,05:00,-044.4,cm      
06/24/2008,06:00,-044.5,cm      
06/24/2008,07:00,-044.5,cm      
06/24/2008,08:00,-044.4,cm      
06/24/2008,09:00,-044.6,cm      
06/24/2008,10:00,-044.8,cm      
06/24/2008,11:00,-044.9,cm      
06/24/2008,12:00,-044.8,cm      
06/24/2008,13:00,-044.8,cm      
06/24/2008,14:00,-044.7,cm      
06/24/2008,15:00,-044.8,cm      
06/24/2008,16:00,-044.9,cm      
06/24/2008,17:00,-044.8,cm      
06/24/2008,18:00,-044.9,cm      
06/24/2008,19:00,-044.9,cm      
06/24/2008,20:00,-045.2,cm      
06/24/2008,21:00,-045.2,cm      
06/24/2008,22:00,-045.2,cm      
06/24/2008,23:00,-045.2,cm      
06/25/2008,00:00,-045.3,cm      
06/25/2008,01:00,-045.4,cm      
06/25/2008,02:00,-045.4,cm      
06/25/2008,03:00,-045.5,cm      
06/25/2008,04:00,-045.5,cm      
06/25/2008,05:00,-045.6,cm      
06/25/2008,06:00,-045.6,cm      
06/25/2008,07:00,-045.6,cm      
06/25/2008,08:00,-045.4,cm      
06/25/2008,09:00,-045.9,cm      
06/25/2008,10:00,-046.2,cm      
06/25/2008,11:00,-046.3,cm      
06/25/2008,12:00,-046.2,cm      
06/25/2008,13:00,-046.2,cm      
06/25/2008,14:00,-046.2,cm      
06/25/2008,15:00,-046.3,cm      
06/25/2008,16:00,-046.0,cm      
06/25/2008,17:00,-045.5,cm      
06/25/2008,18:00,-046.2,cm      
06/25/2008,19:00,-046.4,cm      
06/25/2008,20:00,-046.5,cm      
06/25/2008,21:00,-046.5,cm      
06/25/2008,22:00,-046.2,cm      
06/25/2008,23:00,-045.6,cm      
06/26/2008,00:00,-045.6,cm      
06/26/2008,01:00,-045.6,cm      
06/26/2008,02:00,-045.7,cm      
06/26/2008,03:00,-045.7,cm      
06/26/2008,04:00,-045.8,cm      
06/26/2008,05:00,-045.9,cm      
06/26/2008,06:00,-045.8,cm      
06/26/2008,07:00,-045.8,cm      
06/26/2008,08:00,-045.7,cm      
06/26/2008,09:00,-045.7,cm      
06/26/2008,10:00,-045.7,cm      
06/26/2008,11:00,-046.0,cm      
06/26/2008,12:00,-046.4,cm      
06/26/2008,13:00,-046.5,cm      
06/26/2008,14:00,-046.3,cm      
06/26/2008,15:00,-046.4,cm      
06/26/2008,16:00,-046.4,cm      
06/26/2008,17:00,-046.5,cm      
06/26/2008,18:00,-046.6,cm      
06/26/2008,19:00,-046.7,cm      
06/26/2008,20:00,-045.9,cm      
06/26/2008,21:00,-045.9,cm      
06/26/2008,22:00,-045.9,cm      
06/26/2008,23:00,-046.0,cm      
06/27/2008,00:00,-046.0,cm      
06/27/2008,01:00,-046.1,cm      
06/27/2008,02:00,-046.2,cm      
06/27/2008,03:00,-046.2,cm      
06/27/2008,04:00,-046.3,cm      
06/27/2008,05:00,-046.4,cm      
06/27/2008,06:00,-046.4,cm      
06/27/2008,07:00,-046.4,cm      
06/27/2008,08:00,-046.3,cm      
06/27/2008,09:00,-046.5,cm      
06/27/2008,10:00,-046.3,cm      
06/27/2008,11:00,-046.6,cm      
06/27/2008,12:00,-046.6,cm      
06/27/2008,13:00,-046.9,cm      
06/27/2008,14:00,-046.8,cm      
06/27/2008,15:00,-046.9,cm      
06/27/2008,16:00,-046.9,cm      
06/27/2008,17:00,-047.1,cm      
06/27/2008,18:00,-047.2,cm      
06/27/2008,19:00,-046.6,cm      
06/27/2008,20:00,-046.1,cm      
06/27/2008,21:00,-045.9,cm      
06/27/2008,22:00,-045.6,cm      
06/27/2008,23:00,-045.5,cm      
06/28/2008,00:00,-045.4,cm      
06/28/2008,01:00,-045.2,cm      
06/28/2008,02:00,-045.1,cm      
06/28/2008,03:00,-045.0,cm      
06/28/2008,04:00,-045.0,cm      
06/28/2008,05:00,-044.9,cm      
06/28/2008,06:00,-044.9,cm      
06/28/2008,07:00,-044.9,cm      
06/28/2008,08:00,-045.0,cm      
06/28/2008,09:00,-045.0,cm      
06/28/2008,10:00,-044.8,cm      
06/28/2008,11:00,-044.8,cm      
06/28/2008,12:00,-045.0,cm      
06/28/2008,13:00,-045.3,cm      
06/28/2008,14:00,-045.4,cm      
06/28/2008,15:00,-045.5,cm      
06/28/2008,16:00,-044.6,cm      
06/28/2008,17:00,-044.2,cm      
06/28/2008,18:00,-044.0,cm      
06/28/2008,19:00,-044.0,cm      
06/28/2008,20:00,-044.0,cm      
06/28/2008,21:00,-043.9,cm      
06/28/2008,22:00,-043.9,cm      
06/28/2008,23:00,-043.7,cm      
06/29/2008,00:00,-043.7,cm      
06/29/2008,01:00,-043.8,cm      
