Ecotone Unit: Level Logger
Serial Number: 00001130FA67
Probe Number: 00001130FA67
Log Read: 8/6/2012 16:45:23
 
____Date___ ,Time ,_Level_,Units
07/10/2012,15:00,-087.1,cm      
07/10/2012,16:00,-087.3,cm      
07/10/2012,17:00,-087.6,cm      
07/10/2012,18:00,-087.8,cm      
07/10/2012,19:00,-088.3,cm      
07/10/2012,20:00,-088.4,cm      
07/10/2012,21:00,-087.8,cm      
07/10/2012,22:00,-087.7,cm      
07/10/2012,23:00,-086.8,cm      
07/11/2012,00:00,-086.6,cm      
07/11/2012,01:00,-086.6,cm      
07/11/2012,02:00,-086.9,cm      
07/11/2012,03:00,-087.4,cm      
07/11/2012,04:00,-087.6,cm      
07/11/2012,05:00,-087.7,cm      
07/11/2012,06:00,-088.0,cm      
07/11/2012,07:00,-088.3,cm      
07/11/2012,08:00,-088.7,cm      
07/11/2012,09:00,-088.8,cm      
07/11/2012,10:00,-089.3,cm      
07/11/2012,11:00,-089.5,cm      
07/11/2012,12:00,-089.6,cm      
07/11/2012,13:00,-089.7,cm      
07/11/2012,14:00,-089.6,cm      
07/11/2012,15:00,-089.7,cm      
07/11/2012,16:00,-089.7,cm      
07/11/2012,17:00,-089.8,cm      
07/11/2012,18:00,-089.8,cm      
07/11/2012,19:00,-090.0,cm      
07/11/2012,20:00,-090.0,cm      
07/11/2012,21:00,-089.5,cm      
07/11/2012,22:00,-088.7,cm      
07/11/2012,23:00,-087.7,cm      
07/12/2012,00:00,-087.7,cm      
07/12/2012,01:00,-088.1,cm      
07/12/2012,02:00,-088.7,cm      
07/12/2012,03:00,-089.0,cm      
07/12/2012,04:00,-089.5,cm      
07/12/2012,05:00,-090.0,cm      
07/12/2012,06:00,-090.1,cm      
07/12/2012,07:00,-090.4,cm      
07/12/2012,08:00,-090.6,cm      
07/12/2012,09:00,-090.6,cm      
07/12/2012,10:00,-090.9,cm      
07/12/2012,11:00,-091.1,cm      
07/12/2012,12:00,-091.4,cm      
07/12/2012,13:00,-091.4,cm      
07/12/2012,14:00,-091.4,cm      
07/12/2012,15:00,-091.3,cm      
07/12/2012,16:00,-091.3,cm      
07/12/2012,17:00,-091.3,cm      
07/12/2012,18:00,-091.5,cm      
07/12/2012,19:00,-091.7,cm      
07/12/2012,20:00,-091.7,cm      
07/12/2012,21:00,-090.6,cm      
07/12/2012,22:00,-089.6,cm      
07/12/2012,23:00,-089.1,cm      
07/13/2012,00:00,-089.6,cm      
07/13/2012,01:00,-089.9,cm      
07/13/2012,02:00,-090.6,cm      
07/13/2012,03:00,-090.8,cm      
07/13/2012,04:00,-091.2,cm      
07/13/2012,05:00,-091.3,cm      
07/13/2012,06:00,-091.7,cm      
07/13/2012,07:00,-092.1,cm      
07/13/2012,08:00,-092.3,cm      
07/13/2012,09:00,-070.4,cm      
07/13/2012,10:00,-071.7,cm      
07/13/2012,11:00,-077.0,cm      
07/13/2012,12:00,-079.3,cm      
07/13/2012,13:00,-080.2,cm      
07/13/2012,14:00,-080.5,cm      
07/13/2012,15:00,-080.8,cm      
07/13/2012,16:00,-081.2,cm      
07/13/2012,17:00,-081.3,cm      
07/13/2012,18:00,-081.7,cm      
07/13/2012,19:00,-082.5,cm      
07/13/2012,20:00,-082.8,cm      
07/13/2012,21:00,-082.8,cm      
07/13/2012,22:00,-082.6,cm      
07/13/2012,23:00,-082.5,cm      
07/14/2012,00:00,-082.4,cm      
07/14/2012,01:00,-082.4,cm      
07/14/2012,02:00,-082.4,cm      
07/14/2012,03:00,-082.4,cm      
07/14/2012,04:00,-082.4,cm      
07/14/2012,05:00,-082.4,cm      
07/14/2012,06:00,-082.4,cm      
07/14/2012,07:00,-082.3,cm      
07/14/2012,08:00,-082.2,cm      
07/14/2012,09:00,-082.0,cm      
07/14/2012,10:00,-081.4,cm      
07/14/2012,11:00,-080.1,cm      
07/14/2012,12:00,-079.7,cm      
07/14/2012,13:00,-079.9,cm      
07/14/2012,14:00,-080.1,cm      
07/14/2012,15:00,-080.5,cm      
07/14/2012,16:00,-080.6,cm      
07/14/2012,17:00,-081.2,cm      
07/14/2012,18:00,-081.4,cm      
07/14/2012,19:00,-081.2,cm      
07/14/2012,20:00,-081.6,cm      
07/14/2012,21:00,-081.8,cm      
07/14/2012,22:00,-082.0,cm      
07/14/2012,23:00,-082.0,cm      
07/15/2012,00:00,-082.0,cm      
07/15/2012,01:00,-082.0,cm      
07/15/2012,02:00,-082.0,cm      
07/15/2012,03:00,-082.0,cm      
07/15/2012,04:00,-082.0,cm      
07/15/2012,05:00,-081.9,cm      
07/15/2012,06:00,-082.0,cm      
07/15/2012,07:00,-082.0,cm      
07/15/2012,08:00,-081.9,cm      
07/15/2012,09:00,-081.8,cm      
07/15/2012,10:00,-080.5,cm      
07/15/2012,11:00,-080.1,cm      
07/15/2012,12:00,-079.9,cm      
07/15/2012,13:00,-080.2,cm      
07/15/2012,14:00,-080.8,cm      
07/15/2012,15:00,-081.0,cm      
07/15/2012,16:00,-080.9,cm      
07/15/2012,17:00,-082.0,cm      
