Ecotone Unit: Level Logger
Serial Number: 00001131056F
Probe Number: 00001131056F
Log Read: 4/19/2012 10:40:14
 
____Date___ ,Time ,_Level_,Units
08/17/2011,10:00,-081.9,cm      
08/17/2011,11:00,-083.6,cm      
08/17/2011,12:00,-083.7,cm      
08/17/2011,13:00,-085.2,cm      
08/17/2011,14:00,-086.9,cm      
08/17/2011,15:00,-088.2,cm      
08/17/2011,16:00,-088.7,cm      
08/17/2011,17:00,-089.0,cm      
08/17/2011,18:00,-089.1,cm      
08/17/2011,19:00,-089.1,cm      
08/17/2011,20:00,-089.3,cm      
08/17/2011,21:00,-089.5,cm      
08/17/2011,22:00,-089.6,cm      
08/17/2011,23:00,-089.8,cm      
08/18/2011,00:00,-090.1,cm      
08/18/2011,01:00,-090.5,cm      
08/18/2011,02:00,-090.7,cm      
08/18/2011,03:00,-090.9,cm      
08/18/2011,04:00,-091.2,cm      
08/18/2011,05:00,-091.4,cm      
08/18/2011,06:00,-091.4,cm      
08/18/2011,07:00,-091.5,cm      
08/18/2011,08:00,-091.5,cm      
08/18/2011,09:00,-091.8,cm      
08/18/2011,10:00,-091.9,cm      
08/18/2011,11:00,-088.7,cm      
08/18/2011,12:00,-088.8,cm      
08/18/2011,13:00,-089.0,cm      
08/18/2011,14:00,-090.9,cm      
08/18/2011,15:00,-091.4,cm      
08/18/2011,16:00,-091.6,cm      
08/18/2011,17:00,-092.0,cm      
08/18/2011,18:00,-092.7,cm      
08/18/2011,19:00,-092.1,cm      
08/18/2011,20:00,-092.4,cm      
08/18/2011,21:00,-092.4,cm      
08/18/2011,22:00,-092.6,cm      
08/18/2011,23:00,-092.9,cm      
08/19/2011,00:00,-093.2,cm      
08/19/2011,01:00,-093.5,cm      
08/19/2011,02:00,-093.8,cm      
08/19/2011,03:00,-094.0,cm      
08/19/2011,04:00,-094.3,cm      
08/19/2011,05:00,-094.2,cm      
08/19/2011,06:00,-094.2,cm      
08/19/2011,07:00,-094.3,cm      
08/19/2011,08:00,-094.5,cm      
08/19/2011,09:00,-095.1,cm      
08/19/2011,10:00,-095.0,cm      
08/19/2011,11:00,-094.2,cm      
08/19/2011,12:00,-093.2,cm      
08/19/2011,13:00,-092.3,cm      
08/19/2011,14:00,-093.4,cm      
08/19/2011,15:00,-094.0,cm      
08/19/2011,16:00,-094.1,cm      
08/19/2011,17:00,-094.4,cm      
08/19/2011,18:00,-094.6,cm      
08/19/2011,19:00,-094.7,cm      
08/19/2011,20:00,-094.5,cm      
08/19/2011,21:00,-094.8,cm      
08/19/2011,22:00,-095.0,cm      
08/19/2011,23:00,-095.5,cm      
08/20/2011,00:00,-096.3,cm      
08/20/2011,01:00,-097.1,cm      
08/20/2011,02:00,-097.6,cm      
08/20/2011,03:00,-097.9,cm      
08/20/2011,04:00,-098.1,cm      
08/20/2011,05:00,-098.2,cm      
08/20/2011,06:00,-098.4,cm      
08/20/2011,07:00,-098.4,cm      
08/20/2011,08:00,-098.3,cm      
08/20/2011,09:00,-098.4,cm      
08/20/2011,10:00,-093.2,cm      
08/20/2011,11:00,-092.3,cm      
08/20/2011,12:00,-091.4,cm      
08/20/2011,13:00,-091.8,cm      
08/20/2011,14:00,-094.6,cm      
08/20/2011,15:00,-095.2,cm      
08/20/2011,16:00,-095.4,cm      
08/20/2011,17:00,-095.5,cm      
08/20/2011,18:00,-094.8,cm      
08/20/2011,19:00,-094.6,cm      
08/20/2011,20:00,-094.5,cm      
08/20/2011,21:00,-094.4,cm      
08/20/2011,22:00,-094.7,cm      
08/20/2011,23:00,-094.3,cm      
08/21/2011,00:00,-094.6,cm      
08/21/2011,01:00,-095.4,cm      
08/21/2011,02:00,-095.7,cm      
08/21/2011,03:00,-096.0,cm      
08/21/2011,04:00,-096.5,cm      
08/21/2011,05:00,-096.8,cm      
08/21/2011,06:00,-096.6,cm      
08/21/2011,07:00,-078.6,cm      
08/21/2011,08:00,-072.1,cm      
08/21/2011,09:00,-074.2,cm      
08/21/2011,10:00,-079.6,cm      
08/21/2011,11:00,-083.3,cm      
08/21/2011,12:00,-083.8,cm      
08/21/2011,13:00,-081.3,cm      
08/21/2011,14:00,-080.4,cm      
08/21/2011,15:00,-080.8,cm      
08/21/2011,16:00,-082.1,cm      
08/21/2011,17:00,-084.0,cm      
08/21/2011,18:00,-085.7,cm      
08/21/2011,19:00,-084.7,cm      
08/21/2011,20:00,-079.3,cm      
08/21/2011,21:00,-074.7,cm      
08/21/2011,22:00,-075.0,cm      
08/21/2011,23:00,-078.3,cm      
08/22/2011,00:00,-081.2,cm      
08/22/2011,01:00,-081.9,cm      
08/22/2011,02:00,-081.5,cm      
08/22/2011,03:00,-081.0,cm      
08/22/2011,04:00,-081.6,cm      
08/22/2011,05:00,-083.0,cm      
08/22/2011,06:00,-085.1,cm      
08/22/2011,07:00,-086.3,cm      
08/22/2011,08:00,-086.8,cm      
08/22/2011,09:00,-087.5,cm      
08/22/2011,10:00,-088.2,cm      
08/22/2011,11:00,-088.7,cm      
08/22/2011,12:00,-089.0,cm      
08/22/2011,13:00,-089.7,cm      
08/22/2011,14:00,-090.4,cm      
08/22/2011,15:00,-090.6,cm      
08/22/2011,16:00,-090.8,cm      
08/22/2011,17:00,-091.0,cm      
08/22/2011,18:00,-091.7,cm      
08/22/2011,19:00,-092.1,cm      
08/22/2011,20:00,-092.2,cm      
08/22/2011,21:00,-092.9,cm      
08/22/2011,22:00,-093.5,cm      
08/22/2011,23:00,-093.8,cm      
08/23/2011,00:00,-094.4,cm      
08/23/2011,01:00,-095.1,cm      
08/23/2011,02:00,-095.7,cm      
08/23/2011,03:00,-096.0,cm      
08/23/2011,04:00,-096.3,cm      
08/23/2011,05:00,-096.3,cm      
08/23/2011,06:00,-096.4,cm      
08/23/2011,07:00,-096.5,cm      
08/23/2011,08:00,-096.7,cm      
08/23/2011,09:00,-096.9,cm      
08/23/2011,10:00,-097.2,cm      
08/23/2011,11:00,-092.6,cm      
08/23/2011,12:00,-092.8,cm      
08/23/2011,13:00,-093.2,cm      
08/23/2011,14:00,-095.3,cm      
08/23/2011,15:00,-096.3,cm      
08/23/2011,16:00,-096.7,cm      
08/23/2011,17:00,-096.8,cm      
08/23/2011,18:00,-096.8,cm      
08/23/2011,19:00,-096.7,cm      
08/23/2011,20:00,-096.8,cm      
08/23/2011,21:00,-096.2,cm      
08/23/2011,22:00,-094.7,cm      
08/23/2011,23:00,-094.4,cm      
08/24/2011,00:00,-094.6,cm      
08/24/2011,01:00,-094.9,cm      
08/24/2011,02:00,-094.1,cm      
08/24/2011,03:00,-094.0,cm      
08/24/2011,04:00,-094.2,cm      
08/24/2011,05:00,-092.4,cm      
08/24/2011,06:00,-091.9,cm      
08/24/2011,07:00,-050.9,cm      
08/24/2011,08:00,-038.0,cm      
08/24/2011,09:00,-041.2,cm      
08/24/2011,10:00,-037.9,cm      
08/24/2011,11:00,-037.1,cm      
08/24/2011,12:00,-037.8,cm      
08/24/2011,13:00,-046.7,cm      
08/24/2011,14:00,-056.7,cm      
08/24/2011,15:00,-064.5,cm      
08/24/2011,16:00,-070.1,cm      
08/24/2011,17:00,-073.9,cm      
08/24/2011,18:00,-076.1,cm      
08/24/2011,19:00,-077.6,cm      
08/24/2011,20:00,-079.2,cm      
08/24/2011,21:00,-080.8,cm      
08/24/2011,22:00,-082.8,cm      
08/24/2011,23:00,-084.3,cm      
08/25/2011,00:00,-085.6,cm      
08/25/2011,01:00,-086.1,cm      
08/25/2011,02:00,-058.1,cm      
08/25/2011,03:00,-036.4,cm      
08/25/2011,04:00,-032.0,cm      
08/25/2011,05:00,-030.5,cm      
08/25/2011,06:00,-029.3,cm      
08/25/2011,07:00,-029.5,cm      
08/25/2011,08:00,-031.4,cm      
