Ecotone Unit: Level Logger
Serial Number: 000011312A8D
Probe Number: 000011312A8D
Log Read: 7/18/2013 11:57:42
 
____Date___ ,Time ,_Level_,Units
11/14/2012,12:00,-032.3,cm      
11/14/2012,13:00,-032.5,cm      
11/14/2012,14:00,-032.6,cm      
11/14/2012,15:00,-032.8,cm      
11/14/2012,16:00,-033.0,cm      
11/14/2012,17:00,-033.2,cm      
11/14/2012,18:00,-033.3,cm      
11/14/2012,19:00,-033.3,cm      
11/14/2012,20:00,-033.4,cm      
11/14/2012,21:00,-033.5,cm      
11/14/2012,22:00,-033.6,cm      
11/14/2012,23:00,-033.8,cm      
11/15/2012,00:00,-033.9,cm      
11/15/2012,01:00,-034.0,cm      
11/15/2012,02:00,-034.1,cm      
11/15/2012,03:00,-034.1,cm      
11/15/2012,04:00,-034.2,cm      
11/15/2012,05:00,-034.2,cm      
11/15/2012,06:00,-034.2,cm      
11/15/2012,07:00,-034.3,cm      
11/15/2012,08:00,-034.1,cm      
11/15/2012,09:00,-034.0,cm      
11/15/2012,10:00,-033.3,cm      
11/15/2012,11:00,-032.8,cm      
11/15/2012,12:00,-032.1,cm      
11/15/2012,13:00,-032.3,cm      
11/15/2012,14:00,-032.6,cm      
11/15/2012,15:00,-032.8,cm      
11/15/2012,16:00,-033.1,cm      
11/15/2012,17:00,-033.5,cm      
11/15/2012,18:00,-033.8,cm      
11/15/2012,19:00,-034.1,cm      
11/15/2012,20:00,-034.1,cm      
11/15/2012,21:00,-034.1,cm      
11/15/2012,22:00,-034.1,cm      
11/15/2012,23:00,-034.0,cm      
11/16/2012,00:00,-034.1,cm      
11/16/2012,01:00,-034.1,cm      
11/16/2012,02:00,-034.1,cm      
11/16/2012,03:00,-034.1,cm      
11/16/2012,04:00,-034.2,cm      
11/16/2012,05:00,-034.2,cm      
11/16/2012,06:00,-034.4,cm      
11/16/2012,07:00,-034.3,cm      
11/16/2012,08:00,-034.3,cm      
11/16/2012,09:00,-034.1,cm      
11/16/2012,10:00,-033.3,cm      
11/16/2012,11:00,-031.7,cm      
11/16/2012,12:00,-031.9,cm      
11/16/2012,13:00,-030.6,cm      
11/16/2012,14:00,-030.7,cm      
11/16/2012,15:00,-030.9,cm      
11/16/2012,16:00,-032.0,cm      
11/16/2012,17:00,-034.1,cm      
11/16/2012,18:00,-034.5,cm      
11/16/2012,19:00,-034.8,cm      
11/16/2012,20:00,-034.9,cm      
11/16/2012,21:00,-034.8,cm      
11/16/2012,22:00,-034.9,cm      
11/16/2012,23:00,-034.9,cm      
11/17/2012,00:00,-035.0,cm      
11/17/2012,01:00,-035.0,cm      
11/17/2012,02:00,-035.0,cm      
11/17/2012,03:00,-035.1,cm      
11/17/2012,04:00,-035.1,cm      
11/17/2012,05:00,-035.2,cm      
11/17/2012,06:00,-035.3,cm      
11/17/2012,07:00,-035.3,cm      
11/17/2012,08:00,-035.1,cm      
11/17/2012,09:00,-034.4,cm      
11/17/2012,10:00,-033.7,cm      
11/17/2012,11:00,-032.4,cm      
11/17/2012,12:00,-030.9,cm      
11/17/2012,13:00,-031.2,cm      
11/17/2012,14:00,-032.2,cm      
11/17/2012,15:00,-032.7,cm      
11/17/2012,16:00,-033.2,cm      
11/17/2012,17:00,-034.2,cm      
11/17/2012,18:00,-035.0,cm      
11/17/2012,19:00,-035.3,cm      
11/17/2012,20:00,-035.3,cm      
11/17/2012,21:00,-035.3,cm      
11/17/2012,22:00,-035.3,cm      
11/17/2012,23:00,-035.3,cm      
11/18/2012,00:00,-035.3,cm      
11/18/2012,01:00,-035.3,cm      
11/18/2012,02:00,-035.3,cm      
11/18/2012,03:00,-035.4,cm      
11/18/2012,04:00,-035.4,cm      
11/18/2012,05:00,-035.5,cm      
11/18/2012,06:00,-035.5,cm      
11/18/2012,07:00,-035.6,cm      
11/18/2012,08:00,-035.4,cm      
11/18/2012,09:00,-034.6,cm      
11/18/2012,10:00,-033.7,cm      
11/18/2012,11:00,-032.1,cm      
11/18/2012,12:00,-030.4,cm      
11/18/2012,13:00,-032.0,cm      
11/18/2012,14:00,-033.3,cm      
11/18/2012,15:00,-033.7,cm      
11/18/2012,16:00,-034.0,cm      
11/18/2012,17:00,-035.1,cm      
11/18/2012,18:00,-035.5,cm      
11/18/2012,19:00,-035.6,cm      
11/18/2012,20:00,-035.5,cm      
11/18/2012,21:00,-035.5,cm      
11/18/2012,22:00,-035.4,cm      
11/18/2012,23:00,-035.4,cm      
11/19/2012,00:00,-035.5,cm      
11/19/2012,01:00,-035.5,cm      
11/19/2012,02:00,-035.5,cm      
11/19/2012,03:00,-035.6,cm      
11/19/2012,04:00,-035.6,cm      
11/19/2012,05:00,-035.6,cm      
11/19/2012,06:00,-035.8,cm      
11/19/2012,07:00,-035.7,cm      
11/19/2012,08:00,-035.0,cm      
11/19/2012,09:00,-034.8,cm      
11/19/2012,10:00,-033.8,cm      
11/19/2012,11:00,-033.6,cm      
11/19/2012,12:00,-033.6,cm      
11/19/2012,13:00,-032.2,cm      
11/19/2012,14:00,-032.1,cm      
11/19/2012,15:00,-032.8,cm      
11/19/2012,16:00,-033.0,cm      
11/19/2012,17:00,-033.4,cm      
11/19/2012,18:00,-034.2,cm      
11/19/2012,19:00,-034.7,cm      
11/19/2012,20:00,-035.0,cm      
11/19/2012,21:00,-035.1,cm      
11/19/2012,22:00,-035.0,cm      
11/19/2012,23:00,-035.0,cm      
11/20/2012,00:00,-034.9,cm      
11/20/2012,01:00,-034.9,cm      
11/20/2012,02:00,-034.8,cm      
11/20/2012,03:00,-034.8,cm      
11/20/2012,04:00,-034.8,cm      
11/20/2012,05:00,-034.8,cm      
11/20/2012,06:00,-034.7,cm      
11/20/2012,07:00,-034.6,cm      
11/20/2012,08:00,-034.5,cm      
11/20/2012,09:00,-033.8,cm      
11/20/2012,10:00,-033.1,cm      
11/20/2012,11:00,-033.0,cm      
11/20/2012,12:00,-032.7,cm      
11/20/2012,13:00,-031.7,cm      
11/20/2012,14:00,-031.9,cm      
11/20/2012,15:00,-032.1,cm      
11/20/2012,16:00,-032.3,cm      
11/20/2012,17:00,-032.8,cm      
11/20/2012,18:00,-033.6,cm      
11/20/2012,19:00,-033.8,cm      
11/20/2012,20:00,-033.8,cm      
