Ecotone Unit: Level Logger
Serial Number: 000011312B76
Probe Number: 000011312B76
Log Read: 7/19/2010 10:40:33
 
____Date___ ,Time ,_Level_,Units
12/29/2008,20:00,-051.9,cm      
12/30/2008,08:00,-052.9,cm      
12/30/2008,20:00,-054.1,cm      
12/31/2008,08:00,-054.8,cm      
12/31/2008,20:00,-054.7,cm      
01/01/2009,08:00,-055.2,cm      
01/01/2009,20:00,-055.7,cm      
01/02/2009,08:00,-055.8,cm      
01/02/2009,20:00,-060.0,cm      
01/03/2009,08:00,-060.2,cm      
01/03/2009,20:00,-061.4,cm      
01/04/2009,08:00,-061.5,cm      
01/04/2009,20:00,-062.4,cm      
01/05/2009,08:00,-063.3,cm      
01/05/2009,20:00,-064.0,cm      
01/06/2009,08:00,-064.3,cm      
01/06/2009,20:00,-063.8,cm      
01/07/2009,08:00,-063.0,cm      
01/07/2009,20:00,-062.0,cm      
01/08/2009,08:00,-061.7,cm      
01/08/2009,20:00,-062.0,cm      
01/09/2009,08:00,-062.3,cm      
01/09/2009,20:00,-062.4,cm      
01/10/2009,08:00,-062.1,cm      
01/10/2009,20:00,-061.6,cm      
01/11/2009,08:00,-061.9,cm      
01/11/2009,20:00,-062.9,cm      
01/12/2009,08:00,-062.8,cm      
01/12/2009,20:00,-064.9,cm      
01/13/2009,08:00,-064.7,cm      
01/13/2009,20:00,-065.5,cm      
01/14/2009,08:00,-066.2,cm      
01/14/2009,20:00,-066.1,cm      
01/15/2009,08:00,-066.8,cm      
01/15/2009,20:00,-066.8,cm      
01/16/2009,08:00,-067.3,cm      
01/16/2009,20:00,-067.6,cm      
01/17/2009,08:00,-067.9,cm      
01/17/2009,20:00,-067.3,cm      
01/18/2009,08:00,-066.6,cm      
01/18/2009,20:00,-067.5,cm      
01/19/2009,08:00,-067.6,cm      
01/19/2009,20:00,-067.9,cm      
01/20/2009,08:00,-068.2,cm      
01/20/2009,20:00,-068.5,cm      
01/21/2009,08:00,-069.1,cm      
01/21/2009,20:00,-069.1,cm      
01/22/2009,08:00,-069.5,cm      
01/22/2009,20:00,-078.4,cm      
01/23/2009,08:00,-078.6,cm      
01/23/2009,20:00,-080.6,cm      
01/24/2009,08:00,-081.7,cm      
01/24/2009,20:00,-081.9,cm      
01/25/2009,08:00,-082.2,cm      
01/25/2009,20:00,-082.0,cm      
01/26/2009,08:00,-082.1,cm      
01/26/2009,20:00,-081.1,cm      
01/27/2009,08:00,-081.1,cm      
01/27/2009,20:00,-081.0,cm      
01/28/2009,08:00,-080.3,cm      
01/28/2009,20:00,-080.1,cm      
01/29/2009,08:00,-080.2,cm      
01/29/2009,20:00,-079.5,cm      
01/30/2009,08:00,-079.8,cm      
01/30/2009,20:00,-080.1,cm      
01/31/2009,08:00,-080.5,cm      
01/31/2009,20:00,-079.9,cm      
02/01/2009,08:00,-080.4,cm      
02/01/2009,20:00,-079.6,cm      
02/02/2009,08:00,-085.0,cm      
02/02/2009,20:00,-085.7,cm      
02/03/2009,08:00,-086.6,cm      
02/03/2009,20:00,-087.0,cm      
02/04/2009,08:00,-085.7,cm      
02/04/2009,20:00,-085.4,cm      
02/05/2009,08:00,-086.8,cm      
02/05/2009,20:00,-086.1,cm      
02/06/2009,08:00,-086.4,cm      
02/06/2009,20:00,-085.3,cm      
02/07/2009,08:00,-084.8,cm      
02/07/2009,20:00,-062.9,cm      
02/08/2009,08:00,-047.9,cm      
02/08/2009,20:00,-042.3,cm      
02/09/2009,08:00,-041.3,cm      
02/09/2009,20:00,-039.2,cm      
02/10/2009,08:00,-034.8,cm      
02/10/2009,20:00,-032.8,cm      
02/11/2009,08:00,-032.2,cm      
02/11/2009,20:00,-029.3,cm      
02/12/2009,08:00,+010.6,cm      
02/12/2009,20:00,+010.8,cm      
02/13/2009,08:00,+010.8,cm      
02/13/2009,20:00,+010.8,cm      
02/14/2009,08:00,+010.8,cm      
02/14/2009,20:00,+010.9,cm      
02/15/2009,08:00,+010.9,cm      
02/15/2009,20:00,+011.0,cm      
02/16/2009,08:00,+011.0,cm      
02/16/2009,20:00,+011.1,cm      
02/17/2009,08:00,+011.1,cm      
02/17/2009,20:00,+011.3,cm      
02/18/2009,08:00,+011.3,cm      
02/18/2009,20:00,+011.3,cm      
02/19/2009,08:00,+011.1,cm      
02/19/2009,20:00,+011.2,cm      
02/20/2009,08:00,+011.1,cm      
02/20/2009,20:00,+011.4,cm      
02/21/2009,08:00,+011.4,cm      
02/21/2009,20:00,+011.6,cm      
02/22/2009,08:00,+011.6,cm      
02/22/2009,20:00,+011.6,cm      
02/23/2009,08:00,+011.6,cm      
02/23/2009,20:00,+011.8,cm      
02/24/2009,08:00,+011.6,cm      
02/24/2009,20:00,+012.0,cm      
02/25/2009,08:00,+011.9,cm      
02/25/2009,20:00,+012.1,cm      
02/26/2009,08:00,+011.8,cm      
02/26/2009,20:00,+012.0,cm      
02/27/2009,08:00,+012.4,cm      
02/27/2009,20:00,+012.4,cm      
02/28/2009,08:00,+011.7,cm      
02/28/2009,20:00,+012.0,cm      
03/01/2009,08:00,+011.8,cm      
03/01/2009,20:00,+012.2,cm      
03/02/2009,08:00,+011.6,cm      
03/02/2009,20:00,+012.1,cm      
03/03/2009,08:00,+012.0,cm      
