Ecotone Unit: Level Logger
Serial Number: 000011313B7A
Probe Number: 000011313B7A
Log Read: 10/15/2013 12:36:02
 
____Date___ ,Time ,_Level_,Units
08/26/2013,14:00,-052.1,cm      
08/26/2013,15:00,-052.1,cm      
08/26/2013,16:00,-052.1,cm      
08/26/2013,17:00,-052.1,cm      
08/26/2013,18:00,-052.2,cm      
08/26/2013,19:00,-052.4,cm      
08/26/2013,20:00,-052.4,cm      
08/26/2013,21:00,-052.3,cm      
08/26/2013,22:00,-052.2,cm      
08/26/2013,23:00,-051.9,cm      
08/27/2013,00:00,-051.8,cm      
08/27/2013,01:00,-052.0,cm      
08/27/2013,02:00,-052.0,cm      
08/27/2013,03:00,-051.5,cm      
08/27/2013,04:00,-051.5,cm      
08/27/2013,05:00,-051.5,cm      
08/27/2013,06:00,-051.5,cm      
08/27/2013,07:00,-051.5,cm      
08/27/2013,08:00,-051.6,cm      
08/27/2013,09:00,-051.1,cm      
08/27/2013,10:00,-051.1,cm      
08/27/2013,11:00,-051.0,cm      
08/27/2013,12:00,-050.8,cm      
08/27/2013,13:00,-051.0,cm      
08/27/2013,14:00,-051.3,cm      
08/27/2013,15:00,-051.4,cm      
08/27/2013,16:00,-051.3,cm      
08/27/2013,17:00,-051.4,cm      
08/27/2013,18:00,-051.5,cm      
08/27/2013,19:00,-051.6,cm      
08/27/2013,20:00,-051.6,cm      
08/27/2013,21:00,-051.5,cm      
08/27/2013,22:00,-050.9,cm      
08/27/2013,23:00,-050.7,cm      
08/28/2013,00:00,-050.8,cm      
08/28/2013,01:00,-050.8,cm      
08/28/2013,02:00,-051.0,cm      
08/28/2013,03:00,-050.8,cm      
08/28/2013,04:00,-050.9,cm      
08/28/2013,05:00,-051.0,cm      
08/28/2013,06:00,-051.0,cm      
08/28/2013,07:00,-051.1,cm      
08/28/2013,08:00,-051.1,cm      
08/28/2013,09:00,-050.8,cm      
08/28/2013,10:00,-050.7,cm      
08/28/2013,11:00,-050.6,cm      
08/28/2013,12:00,-051.1,cm      
08/28/2013,13:00,-051.3,cm      
08/28/2013,14:00,-051.4,cm      
08/28/2013,15:00,-051.4,cm      
08/28/2013,16:00,-051.5,cm      
08/28/2013,17:00,-051.5,cm      
08/28/2013,18:00,-051.5,cm      
08/28/2013,19:00,-051.6,cm      
08/28/2013,20:00,-051.7,cm      
08/28/2013,21:00,-050.9,cm      
08/28/2013,22:00,-051.0,cm      
08/28/2013,23:00,-051.3,cm      
08/29/2013,00:00,-051.5,cm      
08/29/2013,01:00,-051.4,cm      
08/29/2013,02:00,-051.5,cm      
08/29/2013,03:00,-051.5,cm      
08/29/2013,04:00,-051.5,cm      
08/29/2013,05:00,-051.5,cm      
08/29/2013,06:00,-051.5,cm      
08/29/2013,07:00,-051.5,cm      
08/29/2013,08:00,-051.5,cm      
08/29/2013,09:00,-051.2,cm      
