Ecotone Unit: Level Logger
Serial Number: 000011313D13
Probe Number: 000011313D13
Log Read: 12/10/2008 16:27:42

____Date___ ,Time ,_Level_,Units
01/01/2000,00:00,----.-,in      
10/09/2008,02:09,-000.0,in      
10/09/2008,06:09,-021.5,in      
10/09/2008,10:09,-021.6,in      
10/09/2008,14:09,-021.6,in      
10/09/2008,18:09,-021.6,in      
10/09/2008,22:09,-021.6,in      
10/10/2008,02:09,-021.6,in      
10/10/2008,06:09,-021.5,in      
10/10/2008,10:09,-021.5,in      
10/10/2008,14:09,-021.5,in      
10/10/2008,18:09,-021.5,in      
10/10/2008,22:09,-021.5,in      
10/11/2008,02:09,-021.5,in      
10/11/2008,06:09,-021.5,in      
10/11/2008,10:09,-021.5,in      
10/11/2008,14:09,-021.5,in      
10/11/2008,18:09,-021.5,in      
10/11/2008,22:09,-021.5,in      
10/12/2008,02:09,-021.5,in      
10/12/2008,06:09,-021.5,in      
10/12/2008,10:09,-021.5,in      
10/12/2008,14:09,-021.5,in      
10/12/2008,18:09,-021.5,in      
10/12/2008,22:09,-021.5,in      
10/13/2008,02:09,-021.5,in      
10/13/2008,06:09,-021.5,in      
10/13/2008,10:09,-021.5,in      
10/13/2008,14:09,-021.5,in      
10/13/2008,18:09,-021.5,in      
10/13/2008,22:09,-021.6,in      
10/14/2008,02:09,-021.6,in      
10/14/2008,06:09,-021.5,in      
10/14/2008,10:09,-021.5,in      
10/14/2008,14:09,-021.5,in      
10/14/2008,18:09,-021.5,in      
10/14/2008,22:09,-021.5,in      
10/15/2008,02:09,-021.5,in      
10/15/2008,06:09,-021.5,in      
10/15/2008,10:09,-021.5,in      
10/15/2008,14:09,-021.5,in      
10/15/2008,18:09,-021.5,in      
10/15/2008,22:09,-021.5,in      
10/16/2008,02:09,-021.5,in      
10/16/2008,06:09,-021.5,in      
10/16/2008,10:09,-021.5,in      
10/16/2008,14:09,-021.5,in      
10/16/2008,18:09,-021.5,in      
10/16/2008,22:09,-021.5,in      
10/17/2008,02:09,-021.5,in      
10/17/2008,06:09,-021.5,in      
10/17/2008,10:09,-021.5,in      
10/17/2008,14:09,-021.5,in      
10/17/2008,18:09,-021.5,in      
10/17/2008,22:09,-021.5,in      
10/18/2008,02:09,-021.5,in      
10/18/2008,06:09,-021.5,in      
10/18/2008,10:09,-021.5,in      
10/18/2008,14:09,-021.5,in      
10/18/2008,18:09,-021.5,in      
10/18/2008,22:09,-021.5,in      
10/19/2008,02:09,-021.5,in      
10/19/2008,06:09,-021.5,in      
10/19/2008,10:09,-021.5,in      
10/19/2008,14:09,-021.5,in      
10/19/2008,18:09,-021.5,in      
10/19/2008,22:09,-021.5,in      
10/20/2008,02:09,-021.5,in      
10/20/2008,06:09,-021.5,in      
10/20/2008,10:09,-021.5,in      
10/20/2008,14:09,-021.5,in      
10/20/2008,18:09,-021.5,in      
10/20/2008,22:09,-021.5,in      
10/21/2008,02:09,-021.5,in      
10/21/2008,06:09,-021.5,in      
10/21/2008,10:09,-021.5,in      
10/21/2008,14:09,-021.5,in      
10/21/2008,18:09,-021.5,in      
10/21/2008,22:09,-021.5,in      
10/22/2008,02:09,-021.5,in      
10/22/2008,06:09,-021.5,in      
10/22/2008,10:09,-021.5,in      
10/22/2008,14:09,-021.5,in      
10/22/2008,18:09,-021.5,in      
10/22/2008,22:09,-021.5,in      
10/23/2008,02:09,-021.5,in      
10/23/2008,06:09,-021.5,in      
10/23/2008,10:09,-021.5,in      
10/23/2008,14:09,-021.5,in      
10/23/2008,18:09,-021.5,in      
10/23/2008,22:09,-021.5,in      
10/24/2008,02:09,-021.5,in      
10/24/2008,06:09,-021.5,in      
10/24/2008,10:09,-021.5,in      
10/24/2008,14:09,-021.5,in      
10/24/2008,18:09,-021.5,in      
10/24/2008,22:09,-021.5,in      
10/25/2008,02:09,-021.5,in      
10/25/2008,06:09,-021.5,in      
10/25/2008,10:09,-021.5,in      
10/25/2008,14:09,-021.5,in      
10/25/2008,18:09,-021.5,in      
10/25/2008,22:09,-021.5,in      
10/26/2008,02:09,-021.5,in      
10/26/2008,06:09,-021.5,in      
10/26/2008,10:09,-021.5,in      
10/26/2008,14:09,-021.5,in      
10/26/2008,18:09,-021.5,in      
10/26/2008,22:09,-021.5,in      
10/27/2008,02:09,-021.5,in      
10/27/2008,06:09,-021.5,in      
10/27/2008,10:09,-021.5,in      
10/27/2008,14:09,-021.5,in      
10/27/2008,18:09,-021.5,in      
10/27/2008,22:09,-021.5,in      
10/28/2008,02:09,-021.5,in      
10/28/2008,06:09,-021.5,in      
10/28/2008,10:09,-021.5,in      
10/28/2008,14:09,-021.5,in      
10/28/2008,18:09,-021.5,in      
10/28/2008,22:09,-021.5,in      
10/29/2008,02:09,-021.5,in      
10/29/2008,06:09,-021.5,in      
10/29/2008,10:09,-021.5,in      
10/29/2008,14:09,-021.5,in      
10/29/2008,18:09,-021.5,in      
10/29/2008,22:09,-021.5,in      
10/30/2008,02:09,-021.5,in      
10/30/2008,06:09,-021.5,in      
10/30/2008,10:09,-021.5,in      
10/30/2008,14:09,-021.5,in      
10/30/2008,18:09,-021.5,in      
10/30/2008,22:09,-021.5,in      
10/31/2008,02:09,-021.5,in      
10/31/2008,06:09,-021.5,in      
10/31/2008,10:09,-021.5,in      
10/31/2008,14:09,-021.5,in      
10/31/2008,18:09,-021.5,in      
10/31/2008,22:09,-021.5,in      
11/01/2008,02:09,-021.5,in      
11/01/2008,06:09,-021.5,in      
11/01/2008,10:09,-021.5,in      
11/01/2008,14:09,-021.5,in      
11/01/2008,18:09,-021.5,in      
11/01/2008,22:09,-021.5,in      
11/02/2008,02:09,-021.5,in      
11/02/2008,06:09,-021.5,in      
11/02/2008,10:09,-021.5,in      
11/02/2008,14:09,-021.5,in      
11/02/2008,18:09,-021.5,in      
11/02/2008,22:09,-021.5,in      
11/03/2008,02:09,-021.5,in      
11/03/2008,06:09,-021.5,in      
11/03/2008,10:09,-021.5,in      
11/03/2008,14:09,-021.5,in      
11/03/2008,18:09,-021.5,in      
11/03/2008,22:09,-021.5,in      
11/04/2008,02:09,-021.5,in      
11/04/2008,06:09,-021.5,in      
11/04/2008,10:09,-021.5,in      
11/04/2008,14:09,-021.5,in      
11/04/2008,18:09,-021.5,in      
11/04/2008,22:09,-021.5,in      
11/05/2008,02:09,-021.5,in      
11/05/2008,06:09,-021.5,in      
11/05/2008,10:09,-021.5,in      
11/05/2008,14:09,-021.5,in      
11/05/2008,18:09,-021.5,in      
11/05/2008,22:09,-021.5,in      
11/06/2008,02:09,-021.5,in      
11/06/2008,06:09,-021.5,in      
11/06/2008,10:09,-021.5,in      
11/06/2008,14:09,-021.5,in      
11/06/2008,18:09,-021.5,in      
11/06/2008,22:09,-021.5,in      
11/07/2008,02:09,-021.5,in      
11/07/2008,06:09,-021.5,in      
11/07/2008,10:09,-021.5,in      
11/07/2008,14:09,-021.5,in      
11/07/2008,18:09,-021.5,in      
11/07/2008,22:09,-021.5,in      
11/08/2008,02:09,-021.5,in      
11/08/2008,06:09,-021.5,in      
