Ecotone Unit: Level Logger
Serial Number: 00001314CCFB
Probe Number: 00001314CCFB
Log Read: 7/19/2010 14:11:13
 
____Date___ ,Time ,_Level_,Units
01/01/2000,00:00,----.-,in      
01/01/2000,04:00,-000.0,in      
01/01/2000,08:00,-000.0,in      
01/01/2000,12:00,-000.0,in      
01/01/2000,16:00,-000.0,in      
01/01/2000,20:00,-000.0,in      
01/02/2000,00:00,-000.0,in      
01/02/2000,04:00,-000.0,in      
01/02/2000,08:00,-000.0,in      
01/02/2000,12:00,-000.0,in      
01/02/2000,16:00,-000.0,in      
01/02/2000,20:00,-000.0,in      
01/03/2000,00:00,-000.0,in      
01/03/2000,04:00,-000.0,in      
01/03/2000,08:00,-000.0,in      
01/03/2000,12:00,-000.0,in      
01/03/2000,16:00,-000.0,in      
01/03/2000,20:00,-000.0,in      
01/04/2000,00:00,-000.0,in      
01/04/2000,04:00,-000.0,in      
01/04/2000,08:00,-000.0,in      
01/04/2000,12:00,-000.0,in      
01/04/2000,16:00,-000.0,in      
01/04/2000,20:00,-000.0,in      
01/05/2000,00:00,-000.0,in      
01/05/2000,04:00,-000.0,in      
01/05/2000,08:00,-000.0,in      
01/05/2000,12:00,-000.0,in      
01/05/2000,16:00,-000.0,in      
01/05/2000,20:00,-000.0,in      
01/06/2000,00:00,-000.0,in      
01/06/2000,04:00,-000.0,in      
01/06/2000,08:00,-000.0,in      
01/06/2000,12:00,-000.0,in      
01/06/2000,16:00,-000.0,in      
04/13/2010,10:00,-071.5,cm      
04/13/2010,11:00,-078.3,cm      
04/13/2010,12:00,-085.0,cm      
04/13/2010,13:00,-091.3,cm      
04/13/2010,14:00,-093.9,cm      
04/13/2010,15:00,-094.2,cm      
04/13/2010,16:00,-094.5,cm      
04/13/2010,17:00,-094.8,cm      
04/13/2010,18:00,-094.8,cm      
04/13/2010,19:00,-094.8,cm      
04/13/2010,20:00,-094.8,cm      
04/13/2010,21:00,-094.7,cm      
04/13/2010,22:00,-094.7,cm      
04/13/2010,23:00,-094.7,cm      
04/14/2010,00:00,-094.7,cm      
04/14/2010,01:00,-094.6,cm      
04/14/2010,02:00,-094.5,cm      
04/14/2010,03:00,-094.6,cm      
04/14/2010,04:00,-094.6,cm      
04/14/2010,05:00,-094.7,cm      
04/14/2010,06:00,-094.6,cm      
04/14/2010,07:00,-094.5,cm      
04/14/2010,08:00,-094.5,cm      
04/14/2010,09:00,-094.7,cm      
04/14/2010,10:00,-094.8,cm      
04/14/2010,11:00,-094.9,cm      
04/14/2010,12:00,-095.2,cm      
04/14/2010,13:00,-095.4,cm      
04/14/2010,14:00,-095.5,cm      
04/14/2010,15:00,-095.5,cm      
04/14/2010,16:00,-095.5,cm      
04/14/2010,17:00,-095.4,cm      
04/14/2010,18:00,-095.4,cm      
04/14/2010,19:00,-095.4,cm      
04/14/2010,20:00,-095.3,cm      
04/14/2010,21:00,-095.3,cm      
04/14/2010,22:00,-095.2,cm      
04/14/2010,23:00,-095.2,cm      
04/15/2010,00:00,-095.1,cm      
04/15/2010,01:00,-095.1,cm      
04/15/2010,02:00,-095.0,cm      
04/15/2010,03:00,-095.0,cm      
04/15/2010,04:00,-095.0,cm      
04/15/2010,05:00,-094.9,cm      
04/15/2010,06:00,-094.7,cm      
04/15/2010,07:00,-094.4,cm      
04/15/2010,08:00,-094.2,cm      
04/15/2010,09:00,-095.0,cm      
04/15/2010,10:00,-094.8,cm      
04/15/2010,11:00,-094.6,cm      
04/15/2010,12:00,-094.5,cm      
04/15/2010,13:00,-095.6,cm      
04/15/2010,14:00,-095.6,cm      
04/15/2010,15:00,-095.6,cm      
04/15/2010,16:00,-095.6,cm      
04/15/2010,17:00,-095.6,cm      
04/15/2010,18:00,-095.5,cm      
04/15/2010,19:00,-095.5,cm      
04/15/2010,20:00,-095.4,cm      
04/15/2010,21:00,-095.4,cm      
04/15/2010,22:00,-095.3,cm      
04/15/2010,23:00,-095.3,cm      
04/16/2010,00:00,-095.2,cm      
04/16/2010,01:00,-095.2,cm      
04/16/2010,02:00,-095.2,cm      
04/16/2010,03:00,-095.3,cm      
04/16/2010,04:00,-095.3,cm      
04/16/2010,05:00,-095.3,cm      
04/16/2010,06:00,-095.3,cm      
