Ecotone Unit: Level Logger
Serial Number: 000013153088
Probe Number: 000013153088
Log Read: 7/18/2013 08:31:31
 
____Date___ ,Time ,_Level_,Units
11/08/2012,12:07,-010.0,cm      
11/08/2012,13:07,-010.1,cm      
11/08/2012,14:07,-010.2,cm      
11/08/2012,15:07,-010.3,cm      
11/08/2012,16:07,-010.8,cm      
11/08/2012,17:07,-011.1,cm      
11/08/2012,18:07,-011.2,cm      
11/08/2012,19:07,-011.6,cm      
11/08/2012,20:07,-011.3,cm      
11/08/2012,21:07,-011.4,cm      
11/08/2012,22:07,-011.6,cm      
11/08/2012,23:07,-011.9,cm      
11/09/2012,00:07,-012.1,cm      
11/09/2012,01:07,-012.0,cm      
11/09/2012,02:07,-012.0,cm      
11/09/2012,03:07,-012.0,cm      
11/09/2012,04:07,-012.0,cm      
11/09/2012,05:07,-012.1,cm      
11/09/2012,06:07,-011.9,cm      
11/09/2012,07:07,-011.6,cm      
11/09/2012,08:07,-011.5,cm      
11/09/2012,09:07,-011.3,cm      
11/09/2012,10:07,-011.2,cm      
11/09/2012,11:07,-011.0,cm      
11/09/2012,12:07,-010.5,cm      
11/09/2012,13:07,-010.3,cm      
11/09/2012,14:07,-009.9,cm      
11/09/2012,15:07,-010.3,cm      
11/09/2012,16:07,-010.3,cm      
11/09/2012,17:07,-010.4,cm      
11/09/2012,18:07,-011.1,cm      
11/09/2012,19:07,-011.4,cm      
11/09/2012,20:07,-011.4,cm      
11/09/2012,21:07,-010.8,cm      
11/09/2012,22:07,-010.6,cm      
11/09/2012,23:07,-010.4,cm      
11/10/2012,00:07,-009.3,cm      
11/10/2012,01:07,-009.3,cm      
11/10/2012,02:07,-009.3,cm      
11/10/2012,03:07,-009.3,cm      
11/10/2012,04:07,-009.2,cm      
11/10/2012,05:07,-009.1,cm      
11/10/2012,06:07,-009.1,cm      
11/10/2012,07:07,-009.1,cm      
11/10/2012,08:07,-009.2,cm      
11/10/2012,09:07,-009.1,cm      
11/10/2012,10:07,-009.2,cm      
11/10/2012,11:07,-009.7,cm      
11/10/2012,12:07,-010.2,cm      
11/10/2012,13:07,-010.5,cm      
11/10/2012,14:07,-010.7,cm      
11/10/2012,15:07,-010.7,cm      
11/10/2012,16:07,-010.7,cm      
11/10/2012,17:07,-010.8,cm      
11/10/2012,18:07,-010.8,cm      
11/10/2012,19:07,-010.8,cm      
11/10/2012,20:07,-010.7,cm      
11/10/2012,21:07,-010.7,cm      
11/10/2012,22:07,-010.5,cm      
11/10/2012,23:07,-010.6,cm      
11/11/2012,00:07,-010.6,cm      
11/11/2012,01:07,-010.6,cm      
11/11/2012,02:07,-010.7,cm      
11/11/2012,03:07,-010.7,cm      
11/11/2012,04:07,-010.8,cm      
11/11/2012,05:07,-010.8,cm      
11/11/2012,06:07,-010.8,cm      
11/11/2012,07:07,-010.8,cm      
11/11/2012,08:07,-010.7,cm      
11/11/2012,09:07,-010.5,cm      
11/11/2012,10:07,-010.6,cm      
11/11/2012,11:07,-010.7,cm      
11/11/2012,12:07,-010.8,cm      
11/11/2012,13:07,-010.9,cm      
11/11/2012,14:07,-011.0,cm      
11/11/2012,15:07,-011.1,cm      
11/11/2012,16:07,-011.1,cm      
11/11/2012,17:07,-011.1,cm      
11/11/2012,18:07,-011.1,cm      
11/11/2012,19:07,-011.1,cm      
11/11/2012,20:07,-011.1,cm      
11/11/2012,21:07,-011.0,cm      
11/11/2012,22:07,-010.9,cm      
11/11/2012,23:07,-010.9,cm      
11/12/2012,00:07,-010.8,cm      
11/12/2012,01:07,-010.7,cm      
11/12/2012,02:07,-010.6,cm      
11/12/2012,03:07,-010.5,cm      
11/12/2012,04:07,-010.5,cm      
11/12/2012,05:07,-010.5,cm      
11/12/2012,06:07,-010.5,cm      
11/12/2012,07:07,-010.6,cm      
11/12/2012,08:07,-010.7,cm      
11/12/2012,09:07,-010.8,cm      
11/12/2012,10:07,-010.1,cm      
11/12/2012,11:07,-010.1,cm      
11/12/2012,12:07,-009.9,cm      
11/12/2012,13:07,-009.9,cm      
11/12/2012,14:07,-010.0,cm      
11/12/2012,15:07,-009.8,cm      
11/12/2012,16:07,-010.1,cm      
11/12/2012,17:07,-010.3,cm      
11/12/2012,18:07,-010.5,cm      
11/12/2012,19:07,-010.5,cm      
11/12/2012,20:07,-010.6,cm      
11/12/2012,21:07,-011.0,cm      
11/12/2012,22:07,-011.3,cm      
11/12/2012,23:07,-011.5,cm      
11/13/2012,00:07,-011.6,cm      
11/13/2012,01:07,-011.7,cm      
11/13/2012,02:07,-011.7,cm      
11/13/2012,03:07,-011.6,cm      
11/13/2012,04:07,-011.7,cm      
11/13/2012,05:07,-011.8,cm      
11/13/2012,06:07,-011.8,cm      
11/13/2012,07:07,-011.9,cm      
11/13/2012,08:07,-011.8,cm      
11/13/2012,09:07,-011.8,cm      
11/13/2012,10:07,-011.8,cm      
11/13/2012,11:07,-011.8,cm      
11/13/2012,12:07,-011.8,cm      
11/13/2012,13:07,-011.9,cm      
11/13/2012,14:07,-011.9,cm      
11/13/2012,15:07,-011.9,cm      
11/13/2012,16:07,-011.9,cm      
11/13/2012,17:07,-011.9,cm      
11/13/2012,18:07,-011.9,cm      
11/13/2012,19:07,-011.9,cm      
11/13/2012,20:07,-011.9,cm      
11/13/2012,21:07,-011.9,cm      
11/13/2012,22:07,-012.0,cm      
11/13/2012,23:07,-011.9,cm      
11/14/2012,00:07,-011.9,cm      
11/14/2012,01:07,-011.9,cm      
11/14/2012,02:07,-012.0,cm      
11/14/2012,03:07,-012.0,cm      
11/14/2012,04:07,-012.0,cm      
11/14/2012,05:07,-012.0,cm      
11/14/2012,06:07,-011.9,cm      
11/14/2012,07:07,-011.9,cm      
11/14/2012,08:07,-011.9,cm      
11/14/2012,09:07,-011.8,cm      
11/14/2012,10:07,-011.8,cm      
11/14/2012,11:07,-011.8,cm      
11/14/2012,12:07,-011.7,cm      
