Ecotone Unit: Level Logger
Serial Number: 0000136AC163
Probe Number: 0000136AC163
Log Read: 12/18/2013 09:48:43
 
____Date___ ,Time ,_Level_,Units
10/09/2013,11:00,-021.4,in      
10/09/2013,12:00,-021.4,in      
10/09/2013,13:00,-021.4,in      
10/09/2013,14:00,-021.4,in      
10/09/2013,15:00,-021.4,in      
10/09/2013,16:00,-021.4,in      
10/09/2013,17:00,-021.4,in      
10/09/2013,18:00,-021.4,in      
10/09/2013,19:00,-021.4,in      
10/09/2013,20:00,-021.3,in      
10/09/2013,21:00,-021.4,in      
10/09/2013,22:00,-021.4,in      
10/09/2013,23:00,-021.3,in      
10/10/2013,00:00,-021.3,in      
10/10/2013,01:00,-021.3,in      
10/10/2013,02:00,-021.3,in      
10/10/2013,03:00,-021.3,in      
10/10/2013,04:00,-021.3,in      
10/10/2013,05:00,-021.4,in      
10/10/2013,06:00,-021.3,in      
10/10/2013,07:00,-021.3,in      
10/10/2013,08:00,-021.3,in      
10/10/2013,09:00,-021.3,in      
10/10/2013,10:00,-021.3,in      
10/10/2013,11:00,-021.3,in      
10/10/2013,12:00,-021.4,in      
10/10/2013,13:00,-021.4,in      
10/10/2013,14:00,-021.4,in      
10/10/2013,15:00,-021.4,in      
10/10/2013,16:00,-021.4,in      
10/10/2013,17:00,-021.4,in      
10/10/2013,18:00,-021.4,in      
10/10/2013,19:00,-021.4,in      
10/10/2013,20:00,-021.3,in      
10/10/2013,21:00,-021.3,in      
10/10/2013,22:00,-021.3,in      
10/10/2013,23:00,-021.3,in      
10/11/2013,00:00,-021.3,in      
10/11/2013,01:00,-021.3,in      
10/11/2013,02:00,-021.3,in      
10/11/2013,03:00,-021.3,in      
10/11/2013,04:00,-021.3,in      
10/11/2013,05:00,-021.3,in      
10/11/2013,06:00,-021.3,in      
10/11/2013,07:00,-021.3,in      
10/11/2013,08:00,-021.3,in      
10/11/2013,09:00,-021.2,in      
10/11/2013,10:00,-021.3,in      
10/11/2013,11:00,-021.3,in      
10/11/2013,12:00,-021.3,in      
10/11/2013,13:00,-021.3,in      
10/11/2013,14:00,-021.4,in      
10/11/2013,15:00,-021.4,in      
10/11/2013,16:00,-021.3,in      
10/11/2013,17:00,-021.3,in      
10/11/2013,18:00,-021.4,in      
10/11/2013,19:00,-021.4,in      
10/11/2013,20:00,-021.3,in      
10/11/2013,21:00,-021.3,in      
10/11/2013,22:00,-021.2,in      
10/11/2013,23:00,-021.2,in      
10/12/2013,00:00,-021.2,in      
10/12/2013,01:00,-021.2,in      
10/12/2013,02:00,-021.2,in      
10/12/2013,03:00,-021.2,in      
10/12/2013,04:00,-021.2,in      
10/12/2013,05:00,-021.2,in      
10/12/2013,06:00,-021.2,in      
10/12/2013,07:00,-021.2,in      
10/12/2013,08:00,-021.2,in      
10/12/2013,09:00,-021.2,in      
10/12/2013,10:00,-021.3,in      
10/12/2013,11:00,-021.3,in      
10/12/2013,12:00,-021.2,in      
10/12/2013,13:00,-021.2,in      
10/12/2013,14:00,-021.3,in      
10/12/2013,15:00,-021.3,in      
10/12/2013,16:00,-021.3,in      
10/12/2013,17:00,-021.3,in      
10/12/2013,18:00,-021.3,in      
10/12/2013,19:00,-021.3,in      
10/12/2013,20:00,-021.3,in      
10/12/2013,21:00,-021.3,in      
10/12/2013,22:00,-021.3,in      
10/12/2013,23:00,-021.3,in      
10/13/2013,00:00,-021.3,in      
10/13/2013,01:00,-021.3,in      
10/13/2013,02:00,-021.3,in      
10/13/2013,03:00,-021.3,in      
10/13/2013,04:00,-021.2,in      
10/13/2013,05:00,-021.2,in      
10/13/2013,06:00,-021.2,in      
10/13/2013,07:00,-021.2,in      
10/13/2013,08:00,-021.2,in      
10/13/2013,09:00,-021.2,in      
10/13/2013,10:00,-021.2,in      
10/13/2013,11:00,-021.2,in      
10/13/2013,12:00,-021.3,in      
10/13/2013,13:00,-021.3,in      
10/13/2013,14:00,-021.3,in      
10/13/2013,15:00,-021.3,in      
10/13/2013,16:00,-021.3,in      
10/13/2013,17:00,-021.3,in      
10/13/2013,18:00,-021.3,in      
10/13/2013,19:00,-021.3,in      
10/13/2013,20:00,-021.3,in      
10/13/2013,21:00,-021.3,in      
10/13/2013,22:00,-021.3,in      
10/13/2013,23:00,-021.3,in      
10/14/2013,00:00,-021.2,in      
10/14/2013,01:00,-021.3,in      
10/14/2013,02:00,-021.2,in      
10/14/2013,03:00,-021.2,in      
10/14/2013,04:00,-021.1,in      
10/14/2013,05:00,-021.1,in      
10/14/2013,06:00,-021.0,in      
10/14/2013,07:00,-021.1,in      
10/14/2013,08:00,-021.1,in      
10/14/2013,09:00,-021.0,in      
10/14/2013,10:00,-021.0,in      
10/14/2013,11:00,-020.9,in      
10/14/2013,12:00,-020.8,in      
10/14/2013,13:00,-020.8,in      
10/14/2013,14:00,-020.8,in      
10/14/2013,15:00,-020.9,in      
10/14/2013,16:00,-020.7,in      
10/14/2013,17:00,-020.7,in      
10/14/2013,18:00,-020.8,in      
10/14/2013,19:00,-021.2,in      
10/14/2013,20:00,-021.1,in      
10/14/2013,21:00,-021.1,in      
10/14/2013,22:00,-021.1,in      
10/14/2013,23:00,-021.1,in      
10/15/2013,00:00,-021.1,in      
10/15/2013,01:00,-021.1,in      
10/15/2013,02:00,-021.1,in      
10/15/2013,03:00,-021.1,in      
10/15/2013,04:00,-021.1,in      
10/15/2013,05:00,-021.2,in      
10/15/2013,06:00,-021.0,in      
10/15/2013,07:00,-021.0,in      
10/15/2013,08:00,-021.0,in      
10/15/2013,09:00,-020.7,in      
10/15/2013,10:00,-020.9,in      
10/15/2013,11:00,-021.0,in      
10/15/2013,12:00,-021.0,in      
10/15/2013,13:00,-021.0,in      
10/15/2013,14:00,-021.0,in      
10/15/2013,15:00,-021.0,in      
10/15/2013,16:00,-021.0,in      
10/15/2013,17:00,-021.0,in      
10/15/2013,18:00,-021.0,in      
10/15/2013,19:00,-021.0,in      
10/15/2013,20:00,-021.0,in      
10/15/2013,21:00,-021.0,in      
10/15/2013,22:00,-021.0,in      
10/15/2013,23:00,-021.0,in      
10/16/2013,00:00,-021.0,in      
10/16/2013,01:00,-021.0,in      
10/16/2013,02:00,-021.0,in      
10/16/2013,03:00,-020.9,in      
10/16/2013,04:00,-020.3,in      
10/16/2013,05:00,-020.0,in      
10/16/2013,06:00,-020.0,in      
10/16/2013,07:00,-020.0,in      
10/16/2013,08:00,-020.0,in      
10/16/2013,09:00,-020.0,in      
10/16/2013,10:00,-020.0,in      
10/16/2013,11:00,-020.0,in      
10/16/2013,12:00,-020.0,in      
10/16/2013,13:00,-020.0,in      
10/16/2013,14:00,-020.0,in      
10/16/2013,15:00,-020.0,in      
10/16/2013,16:00,-009.8,in      
10/16/2013,17:00,-011.6,in      
10/16/2013,18:00,-012.4,in      
10/16/2013,19:00,-012.9,in      
10/16/2013,20:00,-013.3,in      
10/16/2013,21:00,-013.6,in      
10/16/2013,22:00,-013.8,in      
10/16/2013,23:00,-014.0,in      
10/17/2013,00:00,-014.2,in      
10/17/2013,01:00,-014.4,in      
10/17/2013,02:00,-014.5,in      
10/17/2013,03:00,-014.6,in      
10/17/2013,04:00,-014.8,in      
10/17/2013,05:00,-014.9,in      
10/17/2013,06:00,-015.0,in      
10/17/2013,07:00,-015.0,in      
10/17/2013,08:00,-015.1,in      
10/17/2013,09:00,-015.1,in      
10/17/2013,10:00,-015.4,in      
10/17/2013,11:00,-015.6,in      
10/17/2013,12:00,-015.7,in      
10/17/2013,13:00,-015.7,in      
10/17/2013,14:00,-015.7,in      
10/17/2013,15:00,-015.8,in      
10/17/2013,16:00,-015.8,in      
10/17/2013,17:00,-015.6,in      
10/17/2013,18:00,-015.5,in      
10/17/2013,19:00,-015.2,in      
10/17/2013,20:00,-015.1,in      
10/17/2013,21:00,-015.1,in      
10/17/2013,22:00,-015.1,in      
10/17/2013,23:00,-015.1,in      
10/18/2013,00:00,-015.2,in      
10/18/2013,01:00,-015.3,in      
10/18/2013,02:00,-015.5,in      
10/18/2013,03:00,-015.6,in      
10/18/2013,04:00,-015.7,in      
10/18/2013,05:00,-015.8,in      
10/18/2013,06:00,-015.9,in      
10/18/2013,07:00,-015.8,in      
10/18/2013,08:00,-015.7,in      
10/18/2013,09:00,-015.8,in      
10/18/2013,10:00,-016.2,in      
10/18/2013,11:00,-016.3,in      
10/18/2013,12:00,-016.4,in      
10/18/2013,13:00,-016.6,in      
10/18/2013,14:00,-016.6,in      
10/18/2013,15:00,-016.6,in      
10/18/2013,16:00,-016.6,in      
10/18/2013,17:00,-016.7,in      
10/18/2013,18:00,-016.8,in      
10/18/2013,19:00,-016.8,in      
10/18/2013,20:00,-016.9,in      
10/18/2013,21:00,-017.0,in      
10/18/2013,22:00,-017.0,in      
10/18/2013,23:00,-017.1,in      
10/19/2013,00:00,-017.1,in      
10/19/2013,01:00,-017.1,in      
10/19/2013,02:00,-017.2,in      
10/19/2013,03:00,-017.2,in      
10/19/2013,04:00,-017.2,in      
10/19/2013,05:00,-017.2,in      
10/19/2013,06:00,-017.2,in      
10/19/2013,07:00,-017.2,in      
10/19/2013,08:00,-017.2,in      
10/19/2013,09:00,-017.1,in      
10/19/2013,10:00,-017.2,in      
10/19/2013,11:00,-017.2,in      
10/19/2013,12:00,-017.2,in      
10/19/2013,13:00,-017.2,in      
10/19/2013,14:00,-017.3,in      
10/19/2013,15:00,-017.3,in      
10/19/2013,16:00,-017.0,in      
10/19/2013,17:00,-015.9,in      
10/19/2013,18:00,-015.1,in      
10/19/2013,19:00,-014.5,in      
10/19/2013,20:00,-014.2,in      
10/19/2013,21:00,-013.9,in      
10/19/2013,22:00,-013.9,in      
10/19/2013,23:00,-014.0,in      
10/20/2013,00:00,-014.1,in      
10/20/2013,01:00,-014.3,in      
10/20/2013,02:00,-014.5,in      
10/20/2013,03:00,-014.7,in      
10/20/2013,04:00,-014.9,in      
10/20/2013,05:00,-015.0,in      
10/20/2013,06:00,-015.1,in      
10/20/2013,07:00,-015.2,in      
10/20/2013,08:00,-015.3,in      
10/20/2013,09:00,-015.4,in      
10/20/2013,10:00,-015.5,in      
10/20/2013,11:00,-015.9,in      
10/20/2013,12:00,-016.0,in      
10/20/2013,13:00,-016.2,in      
10/20/2013,14:00,-016.2,in      
10/20/2013,15:00,-016.3,in      
10/20/2013,16:00,-016.3,in      
10/20/2013,17:00,-016.4,in      
10/20/2013,18:00,-016.4,in      
10/20/2013,19:00,-016.5,in      
10/20/2013,20:00,-016.6,in      
10/20/2013,21:00,-016.7,in      
10/20/2013,22:00,-016.7,in      
10/20/2013,23:00,-016.8,in      
10/21/2013,00:00,-016.9,in      
10/21/2013,01:00,-017.0,in      
10/21/2013,02:00,-017.0,in      
10/21/2013,03:00,-017.0,in      
10/21/2013,04:00,-017.1,in      
10/21/2013,05:00,-017.1,in      
10/21/2013,06:00,-017.1,in      
10/21/2013,07:00,-017.1,in      
10/21/2013,08:00,-017.1,in      
10/21/2013,09:00,-017.2,in      
10/21/2013,10:00,-017.3,in      
10/21/2013,11:00,-017.3,in      
10/21/2013,12:00,-017.4,in      
10/21/2013,13:00,-017.4,in      
10/21/2013,14:00,-017.4,in      
10/21/2013,15:00,-017.3,in      
10/21/2013,16:00,-017.2,in      
10/21/2013,17:00,-017.2,in      
10/21/2013,18:00,-017.3,in      
10/21/2013,19:00,-017.3,in      
10/21/2013,20:00,-017.2,in      
10/21/2013,21:00,-017.2,in      
10/21/2013,22:00,-017.2,in      
10/21/2013,23:00,-017.3,in      
10/22/2013,00:00,-017.3,in      
10/22/2013,01:00,-017.2,in      
10/22/2013,02:00,-016.4,in      
10/22/2013,03:00,-015.4,in      
10/22/2013,04:00,-014.9,in      
10/22/2013,05:00,-014.6,in      
10/22/2013,06:00,-014.5,in      
10/22/2013,07:00,-014.4,in      
10/22/2013,08:00,-014.5,in      
10/22/2013,09:00,-014.5,in      
10/22/2013,10:00,-014.6,in      
10/22/2013,11:00,-014.7,in      
10/22/2013,12:00,-015.1,in      
10/22/2013,13:00,-015.3,in      
10/22/2013,14:00,-015.5,in      
10/22/2013,15:00,-015.5,in      
10/22/2013,16:00,-015.7,in      
10/22/2013,17:00,-015.8,in      
10/22/2013,18:00,-015.8,in      
10/22/2013,19:00,-015.7,in      
10/22/2013,20:00,-015.7,in      
10/22/2013,21:00,-015.8,in      
10/22/2013,22:00,-015.8,in      
10/22/2013,23:00,-015.9,in      
10/23/2013,00:00,-016.0,in      
10/23/2013,01:00,-016.1,in      
10/23/2013,02:00,-016.1,in      
10/23/2013,03:00,-016.2,in      
10/23/2013,04:00,-016.3,in      
10/23/2013,05:00,-016.4,in      
10/23/2013,06:00,-016.4,in      
10/23/2013,07:00,-016.4,in      
10/23/2013,08:00,-016.4,in      
10/23/2013,09:00,-016.5,in      
10/23/2013,10:00,-016.5,in      
10/23/2013,11:00,-016.4,in      
10/23/2013,12:00,-016.1,in      
10/23/2013,13:00,-015.8,in      
10/23/2013,14:00,-015.6,in      
10/23/2013,15:00,-015.8,in      
10/23/2013,16:00,-015.7,in      
10/23/2013,17:00,-015.5,in      
10/23/2013,18:00,-015.5,in      
10/23/2013,19:00,-015.5,in      
10/23/2013,20:00,-015.6,in      
10/23/2013,21:00,-015.7,in      
10/23/2013,22:00,-015.8,in      
10/23/2013,23:00,-015.7,in      
10/24/2013,00:00,-015.3,in      
10/24/2013,01:00,-015.0,in      
10/24/2013,02:00,-014.6,in      
10/24/2013,03:00,-013.8,in      
10/24/2013,04:00,-012.7,in      
10/24/2013,05:00,-012.0,in      
10/24/2013,06:00,-011.8,in      
10/24/2013,07:00,-011.6,in      
10/24/2013,08:00,-011.6,in      
10/24/2013,09:00,-011.6,in      
10/24/2013,10:00,-011.8,in      
10/24/2013,11:00,-011.9,in      
10/24/2013,12:00,-012.1,in      
10/24/2013,13:00,-012.2,in      
10/24/2013,14:00,-012.4,in      
10/24/2013,15:00,-012.4,in      
10/24/2013,16:00,-012.4,in      
