Ecotone Unit: Level Logger
Serial Number: 0000136B9D32
Probe Number: 0000136B9D32
Log Read: 11/8/2012 11:06:45
 
____Date___ ,Time ,_Level_,Units
07/18/2012,15:00,-050.6,cm      
07/18/2012,16:00,-050.7,cm      
07/18/2012,17:00,-050.8,cm      
07/18/2012,18:00,-050.8,cm      
07/18/2012,19:00,-050.9,cm      
07/18/2012,20:00,-050.9,cm      
07/18/2012,21:00,-050.9,cm      
07/18/2012,22:00,-050.6,cm      
07/18/2012,23:00,-050.0,cm      
07/19/2012,00:00,-049.0,cm      
07/19/2012,01:00,-049.1,cm      
07/19/2012,02:00,-049.3,cm      
07/19/2012,03:00,-049.6,cm      
07/19/2012,04:00,-049.8,cm      
07/19/2012,05:00,-049.5,cm      
07/19/2012,06:00,-049.8,cm      
07/19/2012,07:00,-050.0,cm      
07/19/2012,08:00,-050.3,cm      
07/19/2012,09:00,-050.8,cm      
07/19/2012,10:00,-050.8,cm      
07/19/2012,11:00,-050.6,cm      
07/19/2012,12:00,-050.2,cm      
07/19/2012,13:00,-049.2,cm      
07/19/2012,14:00,-048.3,cm      
07/19/2012,15:00,-048.0,cm      
07/19/2012,16:00,-047.9,cm      
07/19/2012,17:00,-047.8,cm      
07/19/2012,18:00,-047.7,cm      
07/19/2012,19:00,-047.6,cm      
07/19/2012,20:00,-047.5,cm      
07/19/2012,21:00,-047.4,cm      
07/19/2012,22:00,-047.5,cm      
07/19/2012,23:00,-047.5,cm      
07/20/2012,00:00,-047.5,cm      
07/20/2012,01:00,-047.6,cm      
07/20/2012,02:00,-047.6,cm      
07/20/2012,03:00,-047.6,cm      
07/20/2012,04:00,-047.6,cm      
07/20/2012,05:00,-047.6,cm      
07/20/2012,06:00,-047.6,cm      
07/20/2012,07:00,-047.7,cm      
07/20/2012,08:00,-047.6,cm      
07/20/2012,09:00,-047.5,cm      
07/20/2012,10:00,-047.5,cm      
07/20/2012,11:00,-047.5,cm      
07/20/2012,12:00,-047.7,cm      
07/20/2012,13:00,-047.7,cm      
07/20/2012,14:00,-047.7,cm      
07/20/2012,15:00,-047.6,cm      
07/20/2012,16:00,-047.3,cm      
07/20/2012,17:00,-047.2,cm      
07/20/2012,18:00,-047.1,cm      
07/20/2012,19:00,-047.1,cm      
07/20/2012,20:00,-047.1,cm      
07/20/2012,21:00,-047.4,cm      
07/20/2012,22:00,-047.7,cm      
07/20/2012,23:00,-047.9,cm      
07/21/2012,00:00,-048.0,cm      
07/21/2012,01:00,-048.1,cm      
07/21/2012,02:00,-048.4,cm      
07/21/2012,03:00,-048.5,cm      
07/21/2012,04:00,-048.6,cm      
07/21/2012,05:00,-048.6,cm      
07/21/2012,06:00,-048.6,cm      
07/21/2012,07:00,-048.5,cm      
07/21/2012,08:00,-048.5,cm      
07/21/2012,09:00,-048.7,cm      
07/21/2012,10:00,-048.8,cm      
07/21/2012,11:00,-048.8,cm      
07/21/2012,12:00,-048.5,cm      
07/21/2012,13:00,-048.0,cm      
07/21/2012,14:00,-047.9,cm      
07/21/2012,15:00,-048.0,cm      
07/21/2012,16:00,-048.0,cm      
07/21/2012,17:00,-048.2,cm      
07/21/2012,18:00,-048.4,cm      
07/21/2012,19:00,-048.5,cm      
07/21/2012,20:00,-048.6,cm      
07/21/2012,21:00,-048.6,cm      
07/21/2012,22:00,-048.4,cm      
07/21/2012,23:00,-047.9,cm      
07/22/2012,00:00,-048.1,cm      
07/22/2012,01:00,-048.4,cm      
07/22/2012,02:00,-048.7,cm      
07/22/2012,03:00,-049.0,cm      
07/22/2012,04:00,-049.1,cm      
07/22/2012,05:00,-049.4,cm      
07/22/2012,06:00,-049.6,cm      
07/22/2012,07:00,-049.7,cm      
07/22/2012,08:00,-049.7,cm      
07/22/2012,09:00,-049.9,cm      
07/22/2012,10:00,-050.0,cm      
07/22/2012,11:00,-050.1,cm      
07/22/2012,12:00,-050.3,cm      
07/22/2012,13:00,-050.4,cm      
07/22/2012,14:00,-050.4,cm      
07/22/2012,15:00,-050.4,cm      
07/22/2012,16:00,-050.5,cm      
07/22/2012,17:00,-050.7,cm      
07/22/2012,18:00,-051.0,cm      
07/22/2012,19:00,-051.1,cm      
07/22/2012,20:00,-051.2,cm      
07/22/2012,21:00,-051.2,cm      
07/22/2012,22:00,-051.1,cm      
07/22/2012,23:00,-050.9,cm      
07/23/2012,00:00,-050.6,cm      
07/23/2012,01:00,-050.0,cm      
07/23/2012,02:00,-050.1,cm      
07/23/2012,03:00,-050.1,cm      
07/23/2012,04:00,-050.1,cm      
07/23/2012,05:00,-050.1,cm      
07/23/2012,06:00,-050.1,cm      
