Ecotone Unit: Level Logger
Serial Number: 0000138B8F48
Probe Number: 0000138B8F48
Log Read: 6/3/2010 10:53:25
 
____Date___ ,Time ,_Level_,Units
11/24/2009,17:00,-037.2,cm      
11/24/2009,18:00,-037.3,cm      
11/24/2009,19:00,-037.3,cm      
11/24/2009,20:00,-037.3,cm      
11/24/2009,21:00,-037.3,cm      
11/24/2009,22:00,-037.3,cm      
11/24/2009,23:00,-037.3,cm      
11/25/2009,00:00,-037.3,cm      
11/25/2009,01:00,-037.3,cm      
11/25/2009,02:00,-037.3,cm      
11/25/2009,03:00,-037.3,cm      
11/25/2009,04:00,-037.3,cm      
11/25/2009,05:00,-037.3,cm      
11/25/2009,06:00,-037.3,cm      
11/25/2009,07:00,-037.3,cm      
11/25/2009,08:00,-037.2,cm      
11/25/2009,09:00,-037.1,cm      
11/25/2009,10:00,-037.1,cm      
11/25/2009,11:00,-037.1,cm      
11/25/2009,12:00,-037.1,cm      
11/25/2009,13:00,-037.1,cm      
11/25/2009,14:00,-037.1,cm      
11/25/2009,15:00,-037.2,cm      
11/25/2009,16:00,-037.2,cm      
11/25/2009,17:00,-037.2,cm      
11/25/2009,18:00,-037.2,cm      
11/25/2009,19:00,-037.2,cm      
11/25/2009,20:00,-037.2,cm      
11/25/2009,21:00,-037.2,cm      
11/25/2009,22:00,-037.2,cm      
11/25/2009,23:00,-037.2,cm      
11/26/2009,00:00,-037.2,cm      
11/26/2009,01:00,-037.2,cm      
11/26/2009,02:00,-037.3,cm      
11/26/2009,03:00,-037.3,cm      
11/26/2009,04:00,-037.3,cm      
11/26/2009,05:00,-037.3,cm      
11/26/2009,06:00,-037.3,cm      
11/26/2009,07:00,-037.3,cm      
11/26/2009,08:00,-037.3,cm      
11/26/2009,09:00,-037.3,cm      
11/26/2009,10:00,-037.3,cm      
11/26/2009,11:00,-037.2,cm      
11/26/2009,12:00,-037.1,cm      
11/26/2009,13:00,-037.2,cm      
11/26/2009,14:00,-037.2,cm      
11/26/2009,15:00,-037.3,cm      
11/26/2009,16:00,-037.3,cm      
11/26/2009,17:00,-037.3,cm      
11/26/2009,18:00,-037.3,cm      
11/26/2009,19:00,-037.3,cm      
11/26/2009,20:00,-037.3,cm      
11/26/2009,21:00,-037.3,cm      
11/26/2009,22:00,-037.3,cm      
11/26/2009,23:00,-037.3,cm      
11/27/2009,00:00,-037.3,cm      
11/27/2009,01:00,-037.3,cm      
11/27/2009,02:00,-037.3,cm      
11/27/2009,03:00,-036.9,cm      
11/27/2009,04:00,-036.9,cm      
11/27/2009,05:00,-037.0,cm      
11/27/2009,06:00,-036.3,cm      
11/27/2009,07:00,-034.5,cm      
11/27/2009,08:00,-034.0,cm      
11/27/2009,09:00,-032.7,cm      
11/27/2009,10:00,-032.5,cm      
11/27/2009,11:00,-032.9,cm      
11/27/2009,12:00,-033.2,cm      
11/27/2009,13:00,-033.6,cm      
11/27/2009,14:00,-033.9,cm      
11/27/2009,15:00,-034.1,cm      
11/27/2009,16:00,-034.4,cm      
11/27/2009,17:00,-034.6,cm      
11/27/2009,18:00,-034.8,cm      
11/27/2009,19:00,-034.9,cm      
11/27/2009,20:00,-035.1,cm      
11/27/2009,21:00,-035.2,cm      
11/27/2009,22:00,-035.2,cm      
11/27/2009,23:00,-035.2,cm      
11/28/2009,00:00,-035.3,cm      
11/28/2009,01:00,-035.4,cm      
11/28/2009,02:00,-035.5,cm      
11/28/2009,03:00,-035.5,cm      
11/28/2009,04:00,-035.6,cm      
11/28/2009,05:00,-035.6,cm      
11/28/2009,06:00,-035.6,cm      
11/28/2009,07:00,-035.7,cm      
11/28/2009,08:00,-035.8,cm      
11/28/2009,09:00,-035.9,cm      
11/28/2009,10:00,-035.8,cm      
11/28/2009,11:00,-035.6,cm      
11/28/2009,12:00,-035.6,cm      
11/28/2009,13:00,-035.5,cm      
11/28/2009,14:00,-035.5,cm      
11/28/2009,15:00,-035.5,cm      
11/28/2009,16:00,-035.6,cm      
11/28/2009,17:00,-035.6,cm      
11/28/2009,18:00,-035.8,cm      
11/28/2009,19:00,-035.9,cm      
11/28/2009,20:00,-036.0,cm      
11/28/2009,21:00,-036.0,cm      
11/28/2009,22:00,-036.0,cm      
11/28/2009,23:00,-036.0,cm      
11/29/2009,00:00,-036.0,cm      
11/29/2009,01:00,-036.1,cm      
11/29/2009,02:00,-036.1,cm      
11/29/2009,03:00,-036.2,cm      
11/29/2009,04:00,-036.2,cm      
11/29/2009,05:00,-036.2,cm      
11/29/2009,06:00,-036.2,cm      
11/29/2009,07:00,-036.2,cm      
11/29/2009,08:00,-036.2,cm      
11/29/2009,09:00,-036.2,cm      
