Ecotone Unit: Level Logger
Serial Number: 0000138BA0F2
Probe Number: 0000138BA0F2
Log Read: 9/13/2011 09:34:55
 
____Date___ ,Time ,_Level_,Units
08/30/2011,11:00,-033.8,cm      
08/30/2011,12:00,-033.8,cm      
08/30/2011,13:00,-033.9,cm      
08/30/2011,14:00,-033.8,cm      
08/30/2011,15:00,-033.9,cm      
08/30/2011,16:00,-033.9,cm      
08/30/2011,17:00,-034.0,cm      
08/30/2011,18:00,-034.0,cm      
08/30/2011,19:00,-034.0,cm      
08/30/2011,20:00,-034.1,cm      
08/30/2011,21:00,-034.1,cm      
08/30/2011,22:00,-034.2,cm      
08/30/2011,23:00,-034.3,cm      
08/31/2011,00:00,-034.4,cm      
08/31/2011,01:00,-034.4,cm      
08/31/2011,02:00,-034.5,cm      
08/31/2011,03:00,-034.6,cm      
08/31/2011,04:00,-034.5,cm      
08/31/2011,05:00,-034.7,cm      
08/31/2011,06:00,-034.7,cm      
08/31/2011,07:00,-034.6,cm      
08/31/2011,08:00,-034.5,cm      
08/31/2011,09:00,-034.7,cm      
08/31/2011,10:00,-034.8,cm      
08/31/2011,11:00,-034.2,cm      
08/31/2011,12:00,-034.3,cm      
08/31/2011,13:00,-034.4,cm      
08/31/2011,14:00,-034.4,cm      
08/31/2011,15:00,-034.4,cm      
08/31/2011,16:00,-034.4,cm      
08/31/2011,17:00,-034.5,cm      
08/31/2011,18:00,-034.4,cm      
08/31/2011,19:00,-034.4,cm      
08/31/2011,20:00,-034.4,cm      
08/31/2011,21:00,-034.5,cm      
08/31/2011,22:00,-034.7,cm      
08/31/2011,23:00,-034.9,cm      
09/01/2011,00:00,-035.1,cm      
09/01/2011,01:00,-035.2,cm      
09/01/2011,02:00,-035.2,cm      
09/01/2011,03:00,-035.2,cm      
09/01/2011,04:00,-035.2,cm      
09/01/2011,05:00,-035.2,cm      
09/01/2011,06:00,-035.4,cm      
09/01/2011,07:00,-035.4,cm      
09/01/2011,08:00,-035.5,cm      
09/01/2011,09:00,-035.6,cm      
09/01/2011,10:00,-035.5,cm      
09/01/2011,11:00,-032.2,cm      
09/01/2011,12:00,-031.8,cm      
09/01/2011,13:00,-031.8,cm      
09/01/2011,14:00,-031.8,cm      
09/01/2011,15:00,-031.8,cm      
09/01/2011,16:00,-031.8,cm      
09/01/2011,17:00,-031.9,cm      
09/01/2011,18:00,-031.9,cm      
09/01/2011,19:00,-031.9,cm      
09/01/2011,20:00,-031.9,cm      
09/01/2011,21:00,-032.0,cm      
09/01/2011,22:00,-032.0,cm      
09/01/2011,23:00,-032.0,cm      
09/02/2011,00:00,-032.0,cm      
09/02/2011,01:00,-032.1,cm      
09/02/2011,02:00,-032.1,cm      
09/02/2011,03:00,-032.2,cm      
09/02/2011,04:00,-032.2,cm      
09/02/2011,05:00,-032.2,cm      
09/02/2011,06:00,-032.2,cm      
09/02/2011,07:00,-032.3,cm      
09/02/2011,08:00,-032.2,cm      
09/02/2011,09:00,-032.3,cm      
09/02/2011,10:00,-032.3,cm      
09/02/2011,11:00,-032.3,cm      
09/02/2011,12:00,-032.3,cm      
09/02/2011,13:00,-032.4,cm      
09/02/2011,14:00,-032.5,cm      
09/02/2011,15:00,-032.5,cm      
09/02/2011,16:00,-032.4,cm      
09/02/2011,17:00,-032.4,cm      
09/02/2011,18:00,-032.5,cm      
09/02/2011,19:00,-032.5,cm      
09/02/2011,20:00,-032.5,cm      
09/02/2011,21:00,-032.5,cm      
09/02/2011,22:00,-032.6,cm      
09/02/2011,23:00,-032.7,cm      
09/03/2011,00:00,-032.9,cm      
09/03/2011,01:00,-033.2,cm      
09/03/2011,02:00,-033.5,cm      
09/03/2011,03:00,-033.8,cm      
09/03/2011,04:00,-033.8,cm      
09/03/2011,05:00,-034.0,cm      
09/03/2011,06:00,-034.0,cm      
09/03/2011,07:00,-033.9,cm      
09/03/2011,08:00,-034.0,cm      
09/03/2011,09:00,-034.1,cm      
09/03/2011,10:00,-034.2,cm      
09/03/2011,11:00,-034.0,cm      
09/03/2011,12:00,-034.0,cm      
09/03/2011,13:00,-033.9,cm      
09/03/2011,14:00,-034.0,cm      
09/03/2011,15:00,-034.0,cm      
09/03/2011,16:00,-034.0,cm      
09/03/2011,17:00,-034.1,cm      
09/03/2011,18:00,-034.1,cm      
09/03/2011,19:00,-034.1,cm      
